GeneID,Intensity.LUAD_phos_01T
RBM47,0
E2F8,0
UBA6,0
ESYT2,831586243
ESYT3,0
MED19,124879140
UHRF1BP1L,237119281
KIAA1598,233955381
LNP1,0
ARHGAP10,0
CCDC64B,241644581
MEX3A,232866581
C1orf226,482852662
PLEKHG3,233432081
SH3PXD2B,118696740
FRMD3,0
CXorf23,0
NBAS,122119040
TESPA1,115121410
KIAA1467,0
DENND3,0
SBNO1,0
KLRG2,0
RAB19;RAB43,0
SH3D21,0
XIRP2,0
POTEF;POTEI;POTEJ;ACTB;ACTG1;POTEE;POTEKP,0
POTEF;POTEI;ACTB;ACTA2;ACTG2;ACTG1;ACTC1;ACTA1;POTEE,117525840
POTEF;ACTB;ACTA2;ACTG2;ACTG1;ACTC1;ACTA1;ACTBL2;POTEE;POTEKP,268952381
CCDC151,0
CNOT1,0
ARHGEF35,0
ARHGEF35;ARHGEF5,0
BDP1,124507740
CCDC88B,0
FAM83G,0
PALM3,872501683
SOWAHB,0
ZNF316,298010081
TLCD2,115711010
CCDC69,115806820
WTIP,118615640
PCNXL2,0
CCDC85C,0
PCP4L1,0
TRIM64C,0
BTBD11,0
ZSWIM8,231960381
ARHGAP32,119000240
DISP2,0
TBKBP1,115984160
POM121C,116999640
POM121C;POM121B;POM121,0
POM121C;POM121,0
EFCAB7,0
NEURL1B,115479780
NCF1C;NCF1;NCF1B,0
FAM171A2,0
WASH4P;WASH1;WASH3P;WASH2P,0
WASH4P;WASH1;WASH3P;WASH2P;WASH6P,0
COL6A5,0
MYO1G,0
MYO9A,0
SMIM1,0
TMEM229A,0
PPP1R3G,0
TMEM238,119801240
FAM195B,117109840
NACA,155085040
CNKSR3,0
CNKSR3;IPCEF1,117413040
AGPS,120101740
KIF2A,0
DDX39A;DDX39B,115691550
PDLIM1,116530940
MYO1C,122239540
SNAP23,237373881
FXYD1,0
GTPBP1,0
STXBP3,116242940
ARVCF,241211781
SMAP,172740040
RAB27B;RAB27A,0
AP3B1,453894221
SULT2B1,0
NFKBIE,0
PSMD11,0
MEN1,117467540
CBX4,0
SUPT5H,360881121
DFFA,0
RFXAP,0
HIP1,116183340
CLIC1,0
EIF3F,0
WWP2,119717240
ARNTL,0
PIK3CD,0
PDHX,0
QSOX1,0
FOXN3,0
IPO5,116578940
EEF2K,233572081
EML1,0
DNM1L,120187140
PIK3C2A,117565140
LST1,118430640
GOLIM4,124596240
MEIS1,135235040
ELL2,0
BTN3A1,0
BIN1,242586481
CLDN5,0
KPNA3,137611040
STK25;STK26;STK24,0
BCL9,115844460
LAD1,0
EBAG9,302636040
SDCBP,355678881
PITPNM1,117948640
MPHOSPH10,398696621
NOP56,666552802
PEX12,0
KPNA4,0
NFIB,242054881
ACACB,0
SCD,122104140
PPAP2A,0
PPAP2B,0
ARID1A,594369302
BHLHE40,115907630
C2CD2L,0
FCHO1,0
TRAFD1,162354040
HSPB6,0
CIT,0
COPE,242461781
CDC42EP2,0
AP3D1,117453740
ENPP3,0
ABLIM1,1029332524
DVL1,0
DVL1;DVL1P1,0
CHD1,0
CHD2,257174081
STX16,118189740
EI24,126405040
TP53I11,399536040
KMT2D,1337298246
RGPD8;RGPD5,0
RGPD8;RGPD5;RGPD1;RGPD2,0
RGPD8;RGPD5;RGPD1;RGPD2;RANBP2;RGPD4;RGPD3,115600340
RGPD8;RGPD5;RANBP2;RGPD4;RGPD3,121666840
PDCD5,0
SLC9A3R1,628513322
NRP1,0
TNPO2,116141040
APOL1,361634121
UNC13B,117986740
RASGRF2,116437840
SCAMP3,389773081
BACH1,128403040
BCKDK,0
IRF6,240451221
GIPC1,117914340
IKBKB,0
RGS12,0
CASK,0
PPP1R12A,512967262
GAK,358346421
ZNF263,0
HNRNPDL,127239040
XPO1,0
ARHGEF10,0
ZNF609,357020521
ZNF646,0
PDZD2,232254381
SPTBN2,0
MAST4,117459740
SEC16A,1740265027
PLXNB2,117229640
AREL1,0
KHNYN,0
U2SURP,467890062
SETD1A,705383202
SYNJ2,116548040
SYNM,730338843
KIAA0355,0
MCF2L,236268481
DCLK1,470606062
ARHGEF11,973794824
FYB,0
TBX3,116178640
SCAMP2,924972081
ARPC1B,116985240
BET1,119554140
TRIM24,239222981
PGRMC2,671652121
CTDSPL,0
SMAD9;SMAD1,0
RGL2,0
NKRF,0
ZNF185,383087221
CASC3,235790381
RER1,332433081
ATXN7,0
MID1,0
MID1;MID2,0
INPPL1,122921540
SLC16A4,0
HDAC3,137863040
SIGLEC5,0
STX7,126692040
TOX3,0
FOXP2,0
TNRC18,236926381
SLC16A3,152291040
SLC31A2,0
ABCC3,239025781
ABCC4,116831740
ABCC5,117098140
CD3EAP,0
MSH4,0
PER1,119218640
RNF113A,0
KDM6A,347982201
CLDN3,414911121
FFAR2,0
ZZEF1,0
ASAP2,0
RRP8,126027040
PJA2,116910740
SIPA1L1,750208043
ARHGAP6,0
PHF1,0
GPR39,0
SEPTIN4,133199040
DYNC1LI2,246648781
PSMD3,0
SART1,232856040
SPINT2,119251940
HSPA12A,0
CCP110,119034740
ADCY6,117284840
CTIF,245213321
PPIP5K2,121341340
MAP3K7,254538081
RIPK2,233031251
RASA4;RASA4B,0
WDR62,0
PRPF3,176295040
TXNL1,0
TPD52L2,394381521
SYNJ1,0
EIF4G3,245451281
CBFA2T2,239779081
AKR7A2,0
EPB41L2,349431321
TGOLN2,642572562
WIPF1,0
ATP8B1,0
FOXO3,0
SMAD6,0
SGCE,0
LAT,115610420
RGS14,119205740
RNF13,0
AKAP10,0
SYT7,0
DENR,117015740
SPRY2,0
DNPH1,0
CHMP2A,127006040
RGS10,0
BUB3,0
AKAP7,115400320
ACTN4,0
ACTN4;ACTN1,0
ACTN4;ACTN1;ACTN3;ACTN2,132706040
PRKAB2,433484321
STX6,116266940
SYNGR2,124235040
SGTA,0
ENSA,119473040
ENSA;ARPP19,0
STRN,117753340
RRP9,375905121
C21orf2,0
AKAP8,363469021
ZBTB14,0
NRD1,0
CALU,248089061
AHCYL1,0
KIF1C,119775740
TYROBP,117656940
FIGF,0
PEX1,129907040
RAD21,0
TIMM8A,0
KALRN,0
DHX16,355712421
SSSCA1,0
PPP1R12B,0
BNIP3L,872751783
SH3BP5,0
PLIN1,0
BAI3,0
MED14,130044040
PCDH7,0
PRPSAP2,0
SMARCA5,118676940
GPRIN2,0
SPAG9,717755902
SUSD5,0
MGRN1,0
SIPA1L3,235703381
ZFC3H1,0
TRAK2,0
LZTS3,118965540
KIAA0556,0
AQR,0
MAST3,116054840
ATP10A,118281740
ZEB2,120528440
MCM3AP,120103340
KIF1B,245056681
KDM1A,233626981
TBC1D4,115726420
FZD6,0
HBP1,122865040
PPL,699497502
EVI5,116697340
LY75,0
PLXNC1,212529040
MPZL2,0
ACSL4,0
SNX3,119124740
DOK2,0
STX10,128281040
MGEA5,134823040
ADCY9,0
SORBS3,371250701
EIF4EBP3,0
NEMF,0
GMDS,0
NMT2,0
GREM1,125819040
EIF4E2,0
CCNT2,0
SELENOF,0
PDE8A,0
PDE8A;PDE8B,0
PLIN3,121295740
SLC16A7,0
MAFK,0
PRMT3,244214281
KPNA6,0
UGDH,117740240
LPXN,0
SNX2,156798040
DPM1,160700040
USO1,153588040
TOM1,236271481
PFKFB2,0
EIF5B,745470843
GAS7,0
BRD4,372842221
OPHN1,0
PPP1R11,527388162
RNASEH1,115304750
NBN,0
NOL3,0
DTNB,116603940
LILRB3,117998940
LILRB5,121983840
MITF,0
SRGAP2,0
SRGAP2;SRGAP2B;SRGAP2C,117525940
NOS1AP,236004031
IGSF3,0
DENND4B,0
TMCC2,133936040
CBFA2T3,0
LRP4,116017040
LDB3,0
N4BP1,118343940
ROCK2,0
CLASP2,117541440
COBL,0
CPNE3,0
ZBED4,118242040
DEPDC5,120813840
ATG13,121984640
OBSL1,0
PHF2,490434892
PHF2;PHF8,0
ZC3H11A,118117640
RAB11FIP3,0
SOCS5,0
NPHP4,118103440
PHACTR2,0
PPP6R2,121604740
CNOT3,0
ANKRD17,118801140
SIN3B,0
DNAJB6,122509240
SNN,121086640
VPS4B,0
VPS4B;VPS4A,0
ENTPD3,0
ZNF217,122793440
H2AFY,410730321
FLNB,486979362
NCOR1,1078019885
VAMP4,176861040
PEX14,249151181
TRIM3,118504340
ULK1,232691081
SLC43A1,116499940
SEC22B,667939081
DEAF1,0
PRPF40A,614037002
TACC1,248679681
GIGYF1,0
LRCH4,119809740
SAP30,0
MED24,139284040
KATNA1,117295240
ERN1,0
PSIP1,704940902
SRSF10,477572081
CLDN11,0
TNFRSF21,0
TADA3,0
SF3B1,472273462
WBP4,0
SKAP2,231868651
PRKRA,455309721
RPS6KA5,0
MYCBP2,244937481
NPM3,0
PRDM1,0
REM1,0
SNRNP200,690373281
OFD1,116995840
TOM1L1,233004481
RPS6KA4,118058040
SURF6,118514940
UTP20,117456440
NUP155,131101040
TCEA3,0
PALM,115560430
GRAP2,116584240
CAPN15,0
BCAR3,116913040
EIF3G,0
EIF3J,299900981
PPP1R37,118259940
DGAT1,0
CCNK,124235840
DYSF,0
PIAS1,121550740
FLOT1,0
TRIO,122437240
MPDZ,115677470
CPD,0
SASH3,0
GLRX3,0
RSL1D1,393890681
WFS1,116803040
NEBL,0
RNF8,0
PDE5A,118330640
ZFAND5,116756740
SRP72,119139240
RECQL5,128194040
URI1,0
STK17B,0
ECM2,115866720
MTA2,118483340
USP1,0
STK10,121595340
PRKD3,235276311
PRKD3;PRKD1,359711021
GFPT2,0
TPPP,118053240
KBTBD11,117108840
ATP10B,0
TOMM70A,133502040
MYO1D,0
TOX4,117315340
MICAL2,0
KIAA0754,120236140
SUPT7L,0
FCHSD2,0
UFL1,137818040
SORBS2,908073773
TMCC1,267386581
PHF14,607729002
SASH1,712795143
TMEM63A,266710081
FARP2,0
UBXN7,0
SUN1,0
PROSC,118597140
PRPF6,0
PCF11,350680421
FRYL,0
CDK14,240279881
GLCE,118990040
ABLIM3,474037682
KDM4B,0
KDM4B;KDM4E;KDM4C,372005221
SLCO2B1,127762040
WDR47,0
TRIM37,0
SEC31A,768983121
CEP152,0
FAM13A,0
ARHGEF15,0
TJP3,495951962
YIF1A,116063740
UBR5,573360562
FSBP,0
SCAF4,0
UBE4B,238947791
SCEL,743528793
VAMP5,121207140
RTN3,115986840
ZNF205,279018081
EPN2,236491581
STBD1,136813040
ZRANB2,466589081
LUC7L3,0
KIF20A,0
MBD4,0
SBF1,0
KAT7,352735221
ABCC6,0
PDE8B,0
KCNK5,0
VAPB,248652481
SNAPIN,115405330
MPZL1,376511321
PGLS,0
TACC2,249021181
TRIM16,232962231
ZBTB7A,247721281
MAP3K6,117357640
SLU7,263237081
PGM3,0
RAPGEF3,0
CD2BP2,561592821
MED26,120635140
ZFYVE9,0
SVIL,830511443
BAG4,120866040
SLC34A2,0
PARN,137964040
FMNL1,621941862
CLDN7,118158640
ABCA1,120228540
SEC24B,117954140
LPHN2,237734981
CBX6,0
NADK,116423540
SFT2D2,116265840
ACSL3,0
POLR1A,0
PCNT,120251840
CNOT4,0
NFATC1,0
ASMTL,250550811
CDS2,338227081
FGFR1OP,233702281
PPP1R3D,0
BRD1,236093281
POP4,0
HERC2,0
HERC2;HERC2P3,0
OXSR1,122354040
PTBP3,0
STARD3NL,413077121
WIZ,0
DDX58,0
STAU1,0
TMEM50A,116171740
BAG2,0
BAG3,394595321
MAP4K4,118055640
AIFM1,476449212
LATS1,0
TSPAN13,0
ABHD16A,0
C6orf47,0
EOMES,0
S1PR4,0
BCL10,119868440
MOCS2,0
PEX11B,121479240
PAK4,238415881
CHEK2,0
APBA3,0
LDHA,115933260
ALDH1A1,0
CYB5R3,233223281
PNP,0
ABL1,119949440
EGFR,249864881
PGK1,119798540
AK1,0
F9,116715040
PLG,0
CA1,0
CA2,0
SERPINC1,132114040
SERPINA1,0
KNG1,509730281
FOS,0
MYC;MYCN,0
PIGR,817503021
HLA-B,0
HLA-DRB1;HLA-DRB3,0
HBD,0
HBD;HBB,0
COL1A1,118544340
SPTA1,0
APOE,0
APOA2,0
FGB,0
MBP,0
GYPA,0
SLC4A1,380543021
FN1,0
AHSG,116388240
TFRC,115727600
FTH1,358039081
VTN,120806840
HMGCR,116536940
CAT,0
RAF1,0
RAF1;ARAF,146995040
ALDOA,249421781
ANXA1,118112940
APOB,119872040
NR3C1,0
TK1,0
CD74,120408940
SEMG1;SEMG2,0
GAPDH,0
ERBB2,122060740
TP53,0
SLC4A2,167090040
GYPC,0
ATP1A1,115870020
ATP1A1;ATP1A3,116229140
ATP1A1;ATP1A3;ATP4A;ATP1A2,0
APP,120770340
HMGN1,542676662
PRKCG;PRKCB,157388040
SLC25A5;SLC25A4;SLC25A6,124246040
ALPL,145986040
ALPP;ALPPL2,0
EIF2S1,116476340
ICAM1,120114440
RPLP2,125757040
RPLP0;RPLP0P6,279477081
JUN,122201040
JUN;JUND,118265340
SSB,0
PRKCB,0
KRT18,722798672
UROD,0
FYN,0
GSN,0
RB1,117260840
PTMA,0
CDK1;CDK3;CDK2,0
ATP5B,0
S100A9,0
S100A6,116347240
APOA4,0
ENO1,234370981
ENO1;ENO3;ENO2,0
NPM1,1096648703
TPM3,0
TPM3;TPM1,0
EPHX1,0
NEFM,0
CENPB,0
P4HB,0
FES,0
CSF1R,0
CTSD,0
ANXA2,0
ANXA2;ANXA2P2,1486812265
GP1BA,0
CAPN1,0
ADRB2,0
BPGM,116532640
APRT,117308640
EPRS,0
HNRNPC,854943902
UQCRH,118712240
YES1,0
LYN,280303181
SFTPB,0
GJB1,0
SP1,117251340
ZFY;ZFX,0
ANXA6,0
NGFR,0
ABCB1,0
SLC3A2,0
NR3C2,0
HSP90AB1;HSP90AB3P,523686040
SRPR,0
MME,251927081
PDHA1,136847040
PDHA1;PDHA2,419341321
PTPRC,184923040
MET,116853440
ADRB1,122702740
SNRNP70,0
HCK,0
ITGA5,155719040
NFIC,360978501
RPS17,119009040
ANXA5,0
RPSA,0
IL6R,0
ADRA2A,0
SNRPA,0
HOXD4,0
GSTA2;GSTA1;GSTA3,0
SNRPC,0
LGALS1,0
TPM1,240132981
CLTA,0
ANXA4,120816640
CNP,122093440
CD7,0
HMOX1,0
CSF1,0
PDGFRB,116323040
HNRNPA1,474512081
HNRNPA1;HNRNPA1L2,0
PARP1,0
ALDOC,0
TFPT,121413740
ATXN1L,240046781
POLR2M;GCOM2,0
SMIM13,240356491
RGPD1;RGPD2,0
RGPD1;RGPD2;RANBP2;RGPD4;RGPD3,0
HSPA1B;HSPA1A,0
HSPA1B;HSPA1A;HSPA6;HSPA7,0
PGBD3,0
GLI3,117489340
ZBTB48,117878340
GLI4,0
TROVE2,0
RRAS,0
ARAF,0
HIST1H1E,154102040
HIST1H1E;HIST1H1B;HIST1H1D;HIST1H1C;HIST1H1A,0
HIST1H1E;HIST1H1D,205065040
SPP1,1399195605
PTPRF,0
NR2F6,0
NR2F1,0
MAPT,0
PRKAR1A,149507040
KIT,116199240
HSPD1,120421540
CLU,0
IRF1,0
HSPA5,0
MAP2,143075040
SLC2A1,121701040
SLC2A3,0
EPB41,116729340
PYGB,0
RALA,0
BCR,263210881
ERG,0
TOP1,0
TOP2A,232733421
G6PD,0
ESRRA,0
DMD,359810941
SFTPC,0
IGF2R,518125921
SRF,116390940
MS4A1,0
COL6A1,115972390
COL6A3,121208940
TPR,122059640
ANXA3,0
BCKDHA,492002081
SKI,0
ACTN1,0
ACE,0
CDH1,240372481
SRC,497179821
XRCC6,116207640
UNG,0
NR2C1,0
GP1BB,167085040
RNH1,234940781
CYBA,147959040
SCG2,0
CFTR,0
VCAN,303289581
ITGA4,138009040
CEACAM1,118013240
HLA-A,554363121
HLA-E,0
HLA-DRB4,0
LCP1,346826081
PLS3,115670320
APEH,0
GYS1,237190281
PRKAR2A,1402318122
CCDC130,0
CD99,116141140
PRKCSH,0
HCLS1,116951440
PKM,361037421
HSP90B1,238867281
SLC2A4,0
HNRNPL,0
DARS,0
ETS1,117426640
JUP,239585981
BRAF,265142081
PVR,0
PGAM2;PGAM1;PGAM4,0
IFNGR1,0
B4GALT1,0
EZR,0
ATF2,233204281
UCHL3,0
FOSL2,133746040
NME1;NME2;NME2P1,128825040
HIVEP1,0
RPS2,0
TCF4,0
TCF3,0
DSP,171376040
MUC1,120997540
CD44,362079691
ITGB4,231173281
SPN,0
CBR1,0
CREB1,118519540
PECAM1,239260581
PPP3CB,115425310
NCK1,132617040
GCFC2,705714563
HIST1H1B,989950002
HIST1H1D,387052281
HIST1H1C,1003351081
POR,0
EPB42,0
MGMT,0
ATP2A2,139197040
STMN1,477317162
