GeneID,Intensity.LUAD_phos_10N
RBM47,0
E2F8,0
UBA6,0
ESYT2,128266729
ESYT3,0
MED19,0
UHRF1BP1L,0
KIAA1598,0
LNP1,0
ARHGAP10,0
CCDC64B,0
MEX3A,0
C1orf226,0
PLEKHG3,0
SH3PXD2B,0
FRMD3,0
CXorf23,0
NBAS,0
TESPA1,0
KIAA1467,0
DENND3,0
SBNO1,0
KLRG2,0
RAB19;RAB43,0
SH3D21,0
XIRP2,0
POTEF;POTEI;POTEJ;ACTB;ACTG1;POTEE;POTEKP,0
POTEF;POTEI;ACTB;ACTA2;ACTG2;ACTG1;ACTC1;ACTA1;POTEE,0
POTEF;ACTB;ACTA2;ACTG2;ACTG1;ACTC1;ACTA1;ACTBL2;POTEE;POTEKP,0
CCDC151,0
CNOT1,0
ARHGEF35,0
ARHGEF35;ARHGEF5,0
BDP1,0
CCDC88B,0
FAM83G,0
PALM3,514099419
SOWAHB,0
ZNF316,259216759
TLCD2,0
CCDC69,0
WTIP,0
PCNXL2,0
CCDC85C,0
PCP4L1,0
TRIM64C,0
BTBD11,0
ZSWIM8,0
ARHGAP32,0
DISP2,0
TBKBP1,0
POM121C,0
POM121C;POM121B;POM121,0
POM121C;POM121,0
EFCAB7,0
NEURL1B,0
NCF1C;NCF1;NCF1B,0
FAM171A2,0
WASH4P;WASH1;WASH3P;WASH2P,0
WASH4P;WASH1;WASH3P;WASH2P;WASH6P,0
COL6A5,0
MYO1G,0
MYO9A,0
SMIM1,131033329
TMEM229A,0
PPP1R3G,0
TMEM238,0
FAM195B,0
NACA,0
CNKSR3,0
CNKSR3;IPCEF1,0
AGPS,0
KIF2A,0
DDX39A;DDX39B,0
PDLIM1,0
MYO1C,255234879
SNAP23,0
FXYD1,0
GTPBP1,0
STXBP3,0
ARVCF,0
SMAP,137535829
RAB27B;RAB27A,0
AP3B1,274743859
SULT2B1,0
NFKBIE,0
PSMD11,0
MEN1,0
CBX4,0
SUPT5H,0
DFFA,0
RFXAP,0
HIP1,0
CLIC1,0
EIF3F,0
WWP2,0
ARNTL,0
PIK3CD,0
PDHX,0
QSOX1,0
FOXN3,0
IPO5,0
EEF2K,0
EML1,0
DNM1L,0
PIK3C2A,0
LST1,0
GOLIM4,0
MEIS1,128243129
ELL2,0
BTN3A1,0
BIN1,131848229
CLDN5,0
KPNA3,0
STK25;STK26;STK24,127779029
BCL9,0
LAD1,0
EBAG9,170016829
SDCBP,127107479
PITPNM1,0
MPHOSPH10,128935529
NOP56,0
PEX12,0
KPNA4,0
NFIB,127706229
ACACB,0
SCD,0
PPAP2A,0
PPAP2B,0
ARID1A,129335329
BHLHE40,0
C2CD2L,0
FCHO1,0
TRAFD1,0
HSPB6,128791629
CIT,0
COPE,0
CDC42EP2,0
AP3D1,0
ENPP3,0
ABLIM1,395738989
DVL1,0
DVL1;DVL1P1,0
CHD1,0
CHD2,127766229
STX16,0
EI24,131354729
TP53I11,126906799
KMT2D,0
RGPD8;RGPD5,0
RGPD8;RGPD5;RGPD1;RGPD2,0
RGPD8;RGPD5;RGPD1;RGPD2;RANBP2;RGPD4;RGPD3,127379009
RGPD8;RGPD5;RANBP2;RGPD4;RGPD3,0
PDCD5,0
SLC9A3R1,126963209
NRP1,0
TNPO2,0
APOL1,0
UNC13B,254078589
RASGRF2,0
SCAMP3,0
BACH1,0
BCKDK,0
IRF6,0
GIPC1,0
IKBKB,0
RGS12,128172929
CASK,0
PPP1R12A,0
GAK,0
ZNF263,0
HNRNPDL,0
XPO1,0
ARHGEF10,0
ZNF609,127359899
ZNF646,0
PDZD2,127086899
SPTBN2,0
MAST4,0
SEC16A,132962829
PLXNB2,0
AREL1,0
KHNYN,0
U2SURP,0
SETD1A,130271829
SYNJ2,0
SYNM,127148719
KIAA0355,0
MCF2L,256007559
DCLK1,0
ARHGEF11,127168549
FYB,0
TBX3,0
SCAMP2,139824829
ARPC1B,0
BET1,0
TRIM24,0
PGRMC2,134568629
CTDSPL,0
SMAD9;SMAD1,0
RGL2,0
NKRF,0
ZNF185,127502329
CASC3,0
RER1,130247929
ATXN7,0
MID1,0
MID1;MID2,0
INPPL1,129170829
SLC16A4,0
HDAC3,0
SIGLEC5,0
STX7,127733129
TOX3,0
FOXP2,0
TNRC18,0
SLC16A3,0
SLC31A2,0
ABCC3,0
ABCC4,128543929
ABCC5,0
CD3EAP,0
MSH4,0
PER1,0
RNF113A,0
KDM6A,0
CLDN3,0
FFAR2,0
ZZEF1,0
ASAP2,0
RRP8,0
PJA2,0
SIPA1L1,0
ARHGAP6,127615029
PHF1,0
GPR39,0
SEPTIN4,0
DYNC1LI2,0
PSMD3,0
SART1,130571729
SPINT2,0
HSPA12A,0
CCP110,0
ADCY6,126682029
CTIF,0
PPIP5K2,0
MAP3K7,0
RIPK2,0
RASA4;RASA4B,0
WDR62,0
PRPF3,144231829
TXNL1,0
TPD52L2,0
SYNJ1,0
EIF4G3,0
CBFA2T2,0
AKR7A2,0
EPB41L2,0
TGOLN2,563821919
WIPF1,0
ATP8B1,0
FOXO3,0
SMAD6,0
SGCE,0
LAT,0
RGS14,0
RNF13,0
AKAP10,0
SYT7,0
DENR,0
SPRY2,0
DNPH1,0
CHMP2A,0
RGS10,0
BUB3,0
AKAP7,0
ACTN4,0
ACTN4;ACTN1,0
ACTN4;ACTN1;ACTN3;ACTN2,0
PRKAB2,0
STX6,0
SYNGR2,126675729
SGTA,0
ENSA,0
ENSA;ARPP19,0
STRN,0
RRP9,0
C21orf2,0
AKAP8,0
ZBTB14,0
NRD1,0
CALU,0
AHCYL1,0
KIF1C,262294459
TYROBP,0
FIGF,0
PEX1,0
RAD21,0
TIMM8A,0
KALRN,0
DHX16,0
SSSCA1,0
PPP1R12B,0
BNIP3L,136946829
SH3BP5,0
PLIN1,0
BAI3,0
MED14,129978229
PCDH7,0
PRPSAP2,127057139
SMARCA5,0
GPRIN2,127433429
SPAG9,133937429
SUSD5,0
MGRN1,0
SIPA1L3,127905629
ZFC3H1,0
TRAK2,0
LZTS3,0
KIAA0556,0
AQR,0
MAST3,0
ATP10A,0
ZEB2,0
MCM3AP,0
KIF1B,0
KDM1A,0
TBC1D4,0
FZD6,0
HBP1,0
PPL,270082159
EVI5,0
LY75,0
PLXNC1,137140829
MPZL2,0
ACSL4,0
SNX3,0
DOK2,0
STX10,0
MGEA5,0
ADCY9,0
SORBS3,300588269
EIF4EBP3,0
NEMF,0
GMDS,0
NMT2,0
GREM1,0
EIF4E2,0
CCNT2,0
SELENOF,0
PDE8A,0
PDE8A;PDE8B,0
PLIN3,0
SLC16A7,0
MAFK,0
PRMT3,0
KPNA6,0
UGDH,0
LPXN,0
SNX2,0
DPM1,0
USO1,0
TOM1,0
PFKFB2,0
EIF5B,131070929
GAS7,0
BRD4,0
OPHN1,0
PPP1R11,0
RNASEH1,0
NBN,0
NOL3,0
DTNB,0
LILRB3,0
LILRB5,0
MITF,0
SRGAP2,0
SRGAP2;SRGAP2B;SRGAP2C,0
NOS1AP,0
IGSF3,0
DENND4B,0
TMCC2,127179259
CBFA2T3,0
LRP4,0
LDB3,0
N4BP1,0
ROCK2,0
CLASP2,0
COBL,0
CPNE3,0
ZBED4,0
DEPDC5,0
ATG13,0
OBSL1,0
PHF2,128726129
PHF2;PHF8,0
ZC3H11A,0
RAB11FIP3,0
SOCS5,0
NPHP4,0
PHACTR2,0
PPP6R2,0
CNOT3,0
ANKRD17,127043319
SIN3B,0
DNAJB6,0
SNN,129408329
VPS4B,0
VPS4B;VPS4A,0
ENTPD3,0
ZNF217,0
H2AFY,0
FLNB,131074529
NCOR1,0
VAMP4,0
PEX14,0
TRIM3,0
ULK1,0
SLC43A1,0
SEC22B,289247859
DEAF1,0
PRPF40A,131532129
TACC1,0
GIGYF1,0
LRCH4,130833729
SAP30,0
MED24,128922629
KATNA1,0
ERN1,0
PSIP1,403056889
SRSF10,127332829
CLDN11,0
TNFRSF21,0
TADA3,0
SF3B1,254717199
WBP4,0
SKAP2,0
PRKRA,0
RPS6KA5,0
MYCBP2,0
NPM3,0
PRDM1,0
REM1,0
SNRNP200,205300829
OFD1,0
TOM1L1,0
RPS6KA4,0
SURF6,0
UTP20,0
NUP155,0
TCEA3,0
PALM,0
GRAP2,0
CAPN15,0
BCAR3,0
EIF3G,0
EIF3J,0
PPP1R37,0
DGAT1,254599779
CCNK,0
DYSF,0
PIAS1,0
FLOT1,0
TRIO,0
MPDZ,0
CPD,0
SASH3,0
GLRX3,0
RSL1D1,0
WFS1,0
NEBL,0
RNF8,0
PDE5A,126908789
ZFAND5,0
SRP72,0
RECQL5,0
URI1,0
STK17B,0
ECM2,0
MTA2,0
USP1,0
STK10,257526269
PRKD3,128145429
PRKD3;PRKD1,131615829
GFPT2,0
TPPP,0
KBTBD11,0
ATP10B,0
TOMM70A,135331629
MYO1D,0
TOX4,0
MICAL2,0
KIAA0754,127891729
SUPT7L,0
FCHSD2,0
UFL1,132070729
SORBS2,548116519
TMCC1,127192639
PHF14,127017139
SASH1,257214259
TMEM63A,0
FARP2,0
UBXN7,0
SUN1,0
PROSC,0
PRPF6,0
PCF11,0
FRYL,0
CDK14,0
GLCE,0
ABLIM3,655995099
KDM4B,0
KDM4B;KDM4E;KDM4C,0
SLCO2B1,131654529
WDR47,0
TRIM37,0
SEC31A,144735829
CEP152,0
FAM13A,0
ARHGEF15,128060229
TJP3,513641719
YIF1A,0
UBR5,133790029
FSBP,0
SCAF4,0
UBE4B,0
SCEL,261591059
VAMP5,0
RTN3,0
ZNF205,0
EPN2,0
STBD1,0
ZRANB2,394353489
LUC7L3,0
KIF20A,0
MBD4,0
SBF1,0
KAT7,126839649
ABCC6,0
PDE8B,0
KCNK5,0
VAPB,0
SNAPIN,0
MPZL1,0
PGLS,0
TACC2,127312809
TRIM16,0
ZBTB7A,0
MAP3K6,0
SLU7,129060229
PGM3,0
RAPGEF3,0
CD2BP2,168201829
MED26,0
ZFYVE9,0
SVIL,128827629
BAG4,0
SLC34A2,0
PARN,0
FMNL1,128080629
CLDN7,0
ABCA1,127331699
SEC24B,0
LPHN2,0
CBX6,0
NADK,0
SFT2D2,0
ACSL3,0
POLR1A,0
PCNT,0
CNOT4,0
NFATC1,0
ASMTL,0
CDS2,331389659
FGFR1OP,0
PPP1R3D,0
BRD1,0
POP4,0
HERC2,0
HERC2;HERC2P3,0
OXSR1,0
PTBP3,0
STARD3NL,255681759
WIZ,0
DDX58,0
STAU1,0
TMEM50A,0
BAG2,0
BAG3,0
MAP4K4,0
AIFM1,0
LATS1,0
TSPAN13,0
ABHD16A,0
C6orf47,0
EOMES,0
S1PR4,0
BCL10,0
MOCS2,0
PEX11B,0
PAK4,129306729
CHEK2,0
APBA3,0
LDHA,0
ALDH1A1,0
CYB5R3,0
PNP,0
ABL1,0
EGFR,0
PGK1,0
AK1,0
F9,0
PLG,0
CA1,0
CA2,0
SERPINC1,0
SERPINA1,0
KNG1,162997829
FOS,0
MYC;MYCN,0
PIGR,0
HLA-B,0
HLA-DRB1;HLA-DRB3,0
HBD,0
HBD;HBB,0
COL1A1,0
SPTA1,0
APOE,0
APOA2,0
FGB,0
MBP,0
GYPA,0
SLC4A1,138577829
FN1,0
AHSG,0
TFRC,0
FTH1,0
VTN,0
HMGCR,0
CAT,0
RAF1,0
RAF1;ARAF,138107829
ALDOA,0
ANXA1,0
APOB,134463329
NR3C1,0
TK1,0
CD74,0
SEMG1;SEMG2,0
GAPDH,0
ERBB2,0
TP53,0
SLC4A2,0
GYPC,0
ATP1A1,0
ATP1A1;ATP1A3,0
ATP1A1;ATP1A3;ATP4A;ATP1A2,0
APP,0
HMGN1,282094659
PRKCG;PRKCB,0
SLC25A5;SLC25A4;SLC25A6,0
ALPL,0
ALPP;ALPPL2,0
EIF2S1,0
ICAM1,0
RPLP2,0
RPLP0;RPLP0P6,0
JUN,0
JUN;JUND,127741629
SSB,0
PRKCB,0
KRT18,127234669
UROD,0
FYN,0
GSN,0
RB1,0
PTMA,127882829
CDK1;CDK3;CDK2,0
ATP5B,0
S100A9,0
S100A6,0
APOA4,0
ENO1,0
ENO1;ENO3;ENO2,0
NPM1,0
TPM3,0
TPM3;TPM1,0
EPHX1,0
NEFM,0
CENPB,0
P4HB,0
FES,0
CSF1R,0
CTSD,0
ANXA2,0
ANXA2;ANXA2P2,676072549
GP1BA,0
CAPN1,0
ADRB2,0
BPGM,0
APRT,0
EPRS,127809529
HNRNPC,189897829
UQCRH,0
YES1,0
LYN,137818829
SFTPB,0
GJB1,0
SP1,0
ZFY;ZFX,0
ANXA6,0
NGFR,0
ABCB1,0
SLC3A2,0
NR3C2,0
HSP90AB1;HSP90AB3P,155119829
SRPR,0
MME,0
PDHA1,128094329
PDHA1;PDHA2,256269759
PTPRC,0
MET,0
ADRB1,0
SNRNP70,127630329
HCK,0
ITGA5,0
NFIC,257037929
RPS17,0
ANXA5,0
RPSA,0
IL6R,0
ADRA2A,0
SNRPA,0
HOXD4,0
GSTA2;GSTA1;GSTA3,0
SNRPC,0
LGALS1,0
TPM1,127296539
CLTA,0
ANXA4,0
CNP,0
CD7,0
HMOX1,0
CSF1,0
PDGFRB,0
HNRNPA1,137529829
HNRNPA1;HNRNPA1L2,0
PARP1,0
ALDOC,0
TFPT,0
ATXN1L,0
POLR2M;GCOM2,0
SMIM13,0
RGPD1;RGPD2,0
RGPD1;RGPD2;RANBP2;RGPD4;RGPD3,0
HSPA1B;HSPA1A,0
HSPA1B;HSPA1A;HSPA6;HSPA7,0
PGBD3,0
GLI3,0
ZBTB48,0
GLI4,0
TROVE2,0
RRAS,0
ARAF,0
HIST1H1E,0
HIST1H1E;HIST1H1B;HIST1H1D;HIST1H1C;HIST1H1A,127281769
HIST1H1E;HIST1H1D,136488829
SPP1,0
PTPRF,0
NR2F6,0
NR2F1,0
MAPT,0
PRKAR1A,145987829
KIT,0
HSPD1,0
CLU,0
IRF1,0
HSPA5,0
MAP2,0
SLC2A1,0
SLC2A3,0
EPB41,261675569
PYGB,0
RALA,0
BCR,0
ERG,0
TOP1,0
TOP2A,0
G6PD,0
ESRRA,0
DMD,127175609
SFTPC,0
IGF2R,126879169
SRF,126498478
MS4A1,0
COL6A1,0
COL6A3,128014929
TPR,0
ANXA3,0
BCKDHA,0
SKI,0
ACTN1,0
ACE,0
CDH1,0
SRC,150161829
XRCC6,0
UNG,0
NR2C1,0
GP1BB,127255329
RNH1,0
CYBA,0
SCG2,0
CFTR,0
VCAN,0
ITGA4,0
CEACAM1,0
HLA-A,282657659
HLA-E,0
HLA-DRB4,0
LCP1,263095759
PLS3,0
APEH,0
GYS1,127381109
PRKAR2A,579785659
CCDC130,0
CD99,128909929
PRKCSH,0
HCLS1,0
PKM,0
HSP90B1,0
SLC2A4,0
HNRNPL,0
DARS,0
ETS1,0
JUP,260553359
BRAF,128933829
PVR,0
PGAM2;PGAM1;PGAM4,0
IFNGR1,0
B4GALT1,0
EZR,0
ATF2,0
UCHL3,0
FOSL2,0
NME1;NME2;NME2P1,0
HIVEP1,0
RPS2,0
TCF4,0
TCF3,0
DSP,126975919
MUC1,0
CD44,134165429
ITGB4,126880879
SPN,128639929
CBR1,0
CREB1,0
PECAM1,0
PPP3CB,0
NCK1,134372229
GCFC2,0
HIST1H1B,0
HIST1H1D,0
HIST1H1C,313250659
POR,0
EPB42,0
MGMT,0
ATP2A2,136773829
STMN1,0
STMN1;STMN2,0
YBX3,0
YBX3;YBX1;YBX2,0
ZNF22,130091429
ZKSCAN1,0
ZSCAN20,0
HMGA1,0
TMEM11,0
IFNAR1,0
PRKCA,139201829
JUNB,0
GJA1,0
UBTF,0
JUND,0
ATF7,0
PRKACA,0
PRKACA;PRKACG;PRKACB,0
DES,127399779
PTPN2,0
CTPS1,0
PFKL,0
IGFBP3,0
SPI1,0
TCP1,0
PTPN1,0
ARF4,0
PTPRA,0
NELFE,128271629
LAG3,0
PGAM1,0
PGAM1;PGAM4,0
RCC1,128508229
SDC1,0
LIG1,0
XRCC1,136880829
PAM,0
MYL12A;MYL12B;MYL9,0
PLCG1,0
NCL,0
ELK1,0
TRIM21,0
TFEB,0
TFE3,0
SLC9A1,265665659
ITIH2,0
NFKB1,0
NCF2,0
TYMP,0
ATP2B1,127135089
ATP2B1;ATP2B2,0
EIF2S2,132344329
CD33,0
TPSB2;TPSAB1;TPSD1,133594129
CD22,0
RAB4A,0
RAB6A,0
MX2,0
LMNB1,0
LMNB1;LMNB2,0
HOXA5,0
BCL3,0
CAST,128319229
PTMS,0
CDK11B,0
CDK11B;CDK11A,259233859
CSRP1,132510529
