GeneID	LUAD_05N
A1BG	222099690
A2M	243902924
AARS	1166863
ABCC1	4671197
ABCD3	7619796
ABCF1	3929069
ABHD10	23471675
ABHD11	4079793
ABHD14B	10521323
ABHD16A	15627895
ABI1	33924537
ACAA1	62817188
ACAA2	245707057
ACAD8	3305599
ACAD9	17332616
ACADM	38767344
ACADS	39124019
ACADSB	31225949
ACADVL	85517525
ACAT1	421646920
ACAT2	5328465
ACE	156392867
ACIN1	13843695
ACLY	19532155
ACO1	663596
ACO2	186033816
ACOT1	16625679
ACOT13	77192921
ACOT9	56990347
ACOX1	5062682
ACP1	3594684
ACSF2	36779569
ACSL1	37907100
ACSL3	42077366
ACSL4	7992974
ACSL5	25696348
ACSS1	13693501
ACTG1	369641447
ACTL6A	21368872
ACTN1	483110790
ACTR1A	59165144
ACTR1B	37000636
ACTR2	175288785
ACTR3	137429468
ADAM10	51750567
ADAR	7099946
ADCK3	3234393
ADD1	110506197
ADD3	91532784
ADH5	41946283
ADPGK	20505744
AEBP1	53133721
AFG3L2	10979065
AGFG1	10717219
AGK	16957984
AGL	2817265
AGO2	9468021
AGPS	20149278
AGRN	248280203
AGT	7211963
AHCY	13051131
AIF1	92092845
AIFM1	53032342
AIMP1	35667650
AIMP2	14275148
AIP	8257809
AK1	34783863
AK2	96543591
AK3	95083777
AKAP12	58859468
AKAP2	195545008
AKAP9	1516021
AKR1A1	14871185
AKR7A2	28127896
ALCAM	55759780
ALDH16A1	16597719
ALDH18A1	9170316
ALDH1A1	215823412
ALDH1B1	35557406
ALDH2	749008714
ALDH3A2	159591553
ALDH4A1	15870775
ALDH5A1	9028701
ALDH6A1	88243096
ALDH7A1	49659011
ALDH9A1	95925325
ALDOC	16008849
ALG2	11297152
ALG5	14380216
ALOX5	59458594
AMBP	253474466
AMPD3	3883862
ANK1	161295204
ANKFY1	2465110
ANKRD44	2783231
ANO10	11382833
ANO6	41244824
ANP32A	15854297
ANPEP	6185314
ANXA11	278150500
ANXA3	625446021
ANXA4	756512778
ANXA5	733548552
ANXA6	1001964420
ANXA7	117591071
AOC3	1768903760
AP1B1	21395267
AP1G1	12191522
AP1M1	26297097
AP2A1	71865380
AP2A2	42142230
AP2B1	141407192
AP2M1	89788670
AP2S1	56707699
AP3B1	7552793
AP3D1	5821790
AP3M1	15065753
APEH	5113638
APEX1	24196647
API5	3000501
APMAP	172829548
APOA1	678820803
APOA2	295087861
APOA4	139903603
APOB	44620802
APOC1	505815691
APOC3	250083897
APOD	52756155
APOE	399421088
APOH	894147725
APOOL	40780907
APP	7514855
APPL1	14311395
