GeneID	RNA.seq_LADC55
DDX11L1	2
WASH7P	280
MIR6859-1	17
LOC100996442	51
LOC729737	694
DDX11L17	2
WASH9P	333
MIR6859-2	9
LOC112268260	32
LOC100132287	258
LOC105378947	3
MIR12136	1428
OR4F16	9
100133331	268
107984841	68
107984847	74
107984849	14
LOC100288069	42
LINC01409	32
FAM87B	14
LINC00115	38
LINC01128	245
FAM41C	1
LOC284600	1
LINC02593	18
LOC107985728	11
SAMD11	198
NOC2L	2042
KLHL17	175
PLEKHN1	392
PERM1	58
HES4	51
ISG15	7828
AGRN	9968
LOC100288175	52
112267874	20
LOC105378948	116
RNF223	20
C1orf159	234
LINC01342	0
MIR200B	0
MIR200A	1
MIR429	4
TTLL10-AS1	6
TTLL10	17
TNFRSF18	127
TNFRSF4	178
SDF4	3314
B3GALT6	356
C1QTNF12	6
UBE2J2	920
LINC01786	20
SCNN1D	51
ACAP3	749
SNORD167	2
PUSL1	238
INTS11	1489
MIR6727	4
CPTP	665
TAS1R3	22
DVL1	1403
MIR6808	5
MXRA8	799
AURKAIP1	1238
CCNL2	4528
MRPL20-AS1	708
MRPL20	1542
107984868	3
ANKRD65	126
LOC105378585	8
TMEM88B	1
LINC01770	139
LOC107985729	95
VWA1	3037
ATAD3C	788
ATAD3B	874
ATAD3A	929
TMEM240	7
SSU72	2706
FNDC10	558
LOC105378586	24
MIB2	878
MMP23B	77
CDK11B	1419
SLC35E2B	1936
MMP23A	52
CDK11A	971
SLC35E2A	652
LOC112268218	219
NADK	2250
GNB1	9047
LOC105378949	23
CALML6	10
TMEM52	26
CFAP74	48
LOC107984872	8
LOC105378589	3
GABRD	27
LOC105378590	0
LOC105378591	0
PRKCZ	700
PRKCZ-AS1	30
FAAP20	568
LOC112268219	163
LOC105378593	7
SKI	2074
MORN1	206
LOC100129534	74
RER1	3541
PEX10	837
PLCH2	69
PANK4	682
HES5	4
TNFRSF14-AS1	274
TNFRSF14	1277
LOC100996583	8
PRXL2B	560
MMEL1	114
MMEL1-AS1	1
TTC34	36
LOC105378598	0
LOC107984904	0
PRDM16-DT	16
PRDM16	58
LOC105378606	0
LOC107984909	0
LOC105378604	5
ARHGEF16	702
MEGF6	1342
LOC105378608	7
105378607	0
TPRG1L	1243
WRAP73	598
TP73	200
TP73-AS3	5
TP73-AS1	669
CCDC27	11
SMIM1	178
LRRC47	1420
