GeneID	RNA-seq_LADC26
DDX11L1	1
WASH7P	1017
MIR6859-1	28
LOC100996442	105
LOC729737	4426
DDX11L17	0
WASH9P	931
MIR6859-2	18
LOC112268260	63
LOC100132287	1182
LOC105378947	2
MIR12136	873
OR4F16	14
100133331	834
107984841	106
107984847	170
107984849	68
LOC100288069	63
LINC01409	21
FAM87B	13
LINC00115	78
LINC01128	363
FAM41C	1
LOC284600	183
LINC02593	144
LOC107985728	26
SAMD11	405
NOC2L	2995
KLHL17	642
PLEKHN1	297
PERM1	75
HES4	941
ISG15	3347
AGRN	10239
LOC100288175	176
112267874	94
LOC105378948	259
RNF223	453
C1orf159	698
LINC01342	3
MIR200B	3
MIR200A	6
MIR429	12
TTLL10-AS1	18
TTLL10	90
TNFRSF18	705
TNFRSF4	393
SDF4	4367
B3GALT6	691
C1QTNF12	31
UBE2J2	1559
LINC01786	53
SCNN1D	162
ACAP3	2135
SNORD167	8
PUSL1	523
INTS11	2357
MIR6727	14
CPTP	993
TAS1R3	338
DVL1	2421
MIR6808	12
MXRA8	3044
AURKAIP1	2323
CCNL2	5340
MRPL20-AS1	500
MRPL20	1610
107984868	6
ANKRD65	309
LOC105378585	17
TMEM88B	13
LINC01770	136
LOC107985729	105
VWA1	2696
ATAD3C	124
ATAD3B	1529
ATAD3A	1561
TMEM240	33
SSU72	2995
FNDC10	73
LOC105378586	8
MIB2	1762
MMP23B	269
CDK11B	1693
SLC35E2B	1755
MMP23A	199
CDK11A	817
SLC35E2A	550
LOC112268218	195
NADK	2151
GNB1	7030
LOC105378949	6
CALML6	61
TMEM52	80
CFAP74	67
LOC107984872	3
LOC105378589	7
GABRD	30
LOC105378590	0
LOC105378591	2
PRKCZ	797
PRKCZ-AS1	41
FAAP20	1177
LOC112268219	175
LOC105378593	7
SKI	2525
MORN1	209
LOC100129534	103
RER1	3990
PEX10	652
PLCH2	376
PANK4	595
HES5	1
TNFRSF14-AS1	464
TNFRSF14	2432
LOC100996583	21
PRXL2B	641
MMEL1	110
MMEL1-AS1	0
TTC34	24
LOC105378598	1
LOC107984904	0
PRDM16-DT	28
PRDM16	80
LOC105378606	0
LOC107984909	0
LOC105378604	5
ARHGEF16	670
MEGF6	1205
LOC105378608	35
105378607	0
TPRG1L	1204
WRAP73	743
TP73	142
TP73-AS3	7
TP73-AS1	863
CCDC27	4
SMIM1	94
LRRC47	1153
CEP104	845
DFFB	299
107984910	4
C1orf174	713
LINC01134	11
AJAP1	24
LOC107984911	0
NPHP4	569
KCNAB2	1548
CHD5	2
RPL22	9996
107985733	69
RNF207-AS1	25
RNF207	612
ICMT	2456
LINC00337	27
GPR153	356
ACOT7	1004
HES2	46
ESPN	141
TNFRSF25	503
PLEKHG5	629
NOL9	448
TAS1R1	9
LOC107984912	0
ZBTB48	635
KLHL21	995
LOC107984913	5
PHF13	425
THAP3	668
DNAJC11	1121
