GeneID	RNA-seq_normal_lung19
DDX11L1	1
WASH7P	576
MIR6859-1	5
LOC100996442	32
LOC729737	541
DDX11L17	0
WASH9P	659
MIR6859-2	3
LOC112268260	6
LOC100132287	227
LOC105378947	0
MIR12136	588
OR4F16	3
100133331	182
107984841	25
107984847	42
107984849	12
LOC100288069	50
LINC01409	5
FAM87B	13
LINC00115	12
LINC01128	386
FAM41C	39
LOC284600	0
LINC02593	8
LOC107985728	28
SAMD11	238
NOC2L	1541
KLHL17	152
PLEKHN1	20
PERM1	5
HES4	657
ISG15	3528
AGRN	7506
LOC100288175	23
112267874	22
LOC105378948	35
RNF223	26
C1orf159	231
LINC01342	4
MIR200B	3
MIR200A	3
MIR429	12
TTLL10-AS1	148
TTLL10	458
TNFRSF18	82
TNFRSF4	110
SDF4	4471
B3GALT6	620
C1QTNF12	14
UBE2J2	1284
LINC01786	38
SCNN1D	158
ACAP3	1054
SNORD167	4
PUSL1	232
INTS11	1834
MIR6727	6
CPTP	504
TAS1R3	44
DVL1	2620
MIR6808	5
MXRA8	2255
AURKAIP1	1565
CCNL2	2017
MRPL20-AS1	448
MRPL20	1259
107984868	16
ANKRD65	921
LOC105378585	70
TMEM88B	16
LINC01770	78
LOC107985729	47
VWA1	2717
ATAD3C	258
ATAD3B	636
ATAD3A	551
TMEM240	28
SSU72	2677
FNDC10	173
LOC105378586	33
MIB2	2367
MMP23B	300
CDK11B	1484
SLC35E2B	1869
MMP23A	166
CDK11A	920
SLC35E2A	561
LOC112268218	239
NADK	2294
GNB1	9609
LOC105378949	11
CALML6	7
TMEM52	17
CFAP74	496
LOC107984872	18
LOC105378589	27
GABRD	98
LOC105378590	0
LOC105378591	0
PRKCZ	2215
PRKCZ-AS1	60
FAAP20	1178
LOC112268219	78
LOC105378593	14
SKI	5364
MORN1	422
LOC100129534	100
RER1	2774
PEX10	667
PLCH2	328
PANK4	581
HES5	8
TNFRSF14-AS1	439
TNFRSF14	1848
LOC100996583	17
PRXL2B	511
MMEL1	118
MMEL1-AS1	6
TTC34	124
LOC105378598	9
LOC107984904	0
PRDM16-DT	228
PRDM16	743
LOC105378606	5
LOC107984909	0
LOC105378604	65
ARHGEF16	469
MEGF6	1586
LOC105378608	3
105378607	0
TPRG1L	2123
WRAP73	366
TP73	557
TP73-AS3	2
TP73-AS1	1022
CCDC27	1
SMIM1	122
LRRC47	1512
CEP104	1482
DFFB	112
107984910	5
C1orf174	328
LINC01134	9
AJAP1	44
LOC107984911	1
NPHP4	673
KCNAB2	1377
CHD5	10
RPL22	10942
107985733	70
RNF207-AS1	11
RNF207	155
ICMT	1649
LINC00337	0
GPR153	869
ACOT7	450
HES2	107
ESPN	381
TNFRSF25	173
PLEKHG5	530
NOL9	484
TAS1R1	6
LOC107984912	1
ZBTB48	607
KLHL21	1429
LOC107984913	16
PHF13	884
THAP3	434
DNAJC11	775
CAMTA1-DT	3
CAMTA1	660
LOC105376689	15
VAMP3	3049
PER3	499
UTS2	40
TNFRSF9	228
PARK7	3321
ERRFI1	9746
LOC107984915	0
LINC01714	0
SLC45A1	29
RERE	3178
RERE-AS1	8
ENO1	12131
MIR6728	1
ENO1-AS1	13
CA6	5
SLC2A5	13
GPR157	635
MIR34AHG	78
MIR34A	2
LNCTAM34A	25
H6PD	4267
SPSB1	1896
LINC02606	28
SLC25A33	630
TMEM201	266
107985734	9
PIK3CD	1289
PIK3CD-AS1	7
PIK3CD-AS2	13
CLSTN1	3925
CTNNBIP1	2132
LOC105376717	170
LZIC	823
NMNAT1	256
RBP7	155
UBE4B	1236
KIF1B	1874
105376725	0
PGD	2438
CENPS-CORT	153
CENPS	167
CORT	14
DFFA	1184
PEX14	710
CASZ1	1936
LOC105376733	8
C1orf127	26
TARDBP	3131
MASP2	62
SRM	571
EXOSC10	1166
EXOSC10-AS1	38
MTOR	1103
MTOR-AS1	24
ANGPTL7	34
UBIAD1	544
LOC105376739	49
LOC105376740	27
DISP3	6
112268221	0
FBXO2	296
FBXO44	618
FBXO6	558
MAD2L2	451
DRAXIN	13
AGTRAP	1114
C1orf167	420
MTHFR	1617
CLCN6	707
NPPA-AS1	124
NPPA	15
KIAA2013	1883
PLOD1	1439
MFN2	3117
MIIP	514
MIR6729	0
TNFRSF8	71
MIR7846	61
TNFRSF1B	3462
107984917	7
VPS13D	2223
SNORA59A	6
LINC02766	9
DHRS3	2474
MIR6730	1
AADACL4	0
C1orf158	333
LRRC38	0
PDPN	1359
PRDM2	1946
KAZN	717
LOC107985467	0
LOC105376759	0
LOC107985469	2
TMEM51-AS1	118
TMEM51	419
TMEM51-AS2	2
FHAD1	714
FHAD1-AS1	34
LOC101927441	18
EFHD2	4553
CTRC	2
CELA2A	36
CELA2B	81
CASP9	504
DNAJC16	463
AGMAT	15
DDI2	1221
RSC1A1	143
PLEKHM2	2703
SLC25A34	72
SLC25A34-AS1	4
TMEM82	0
FBLIM1	993
UQCRHL	37
FLJ37453	179
SPEN	2405
ZBTB17	782
SRARP	0
HSPB7	254
CLCNKA	11
CLCNKB	25
FAM131C	1
EPHA2	4440
LOC101927479	44
ARHGEF19	662
ANO7L1	66
CPLANE2	166
FBXO42	811
SZRD1	2719
SPATA21	1562
NECAP2	2205
LINC01772	18
CROCCP3	135
RNU1-1	1
LINC01783	18
NBPF1	821
105376794	151
CROCCP2	193
MST1P2	77
LOC107985736	9
RNU1-3	1
ESPNP	19
MST1L	118
LOC112267871	13
LOC105376805	246
CROCC	1996
MFAP2	104
LOC105376806	24
ATP13A2	988
SDHB	1138
PADI2	162
LINC02783	0
PADI1	0
PADI3	0
PADI4	86
PADI6	3
RCC2	2048
ARHGEF10L	1047
ACTL8	0
IGSF21	49
KLHDC7A	205
PAX7	0
ALDH4A1	418
IFFO2	1428
UBR4	2780
EMC1-AS1	49
EMC1	1047
MRTO4	637
AKR7L	4
AKR7A3	15
LOC100506730	80
AKR7A2	1258
SLC66A1	335
CAPZB	5046
MICOS10	1045
MICOS10-NBL1	8328
RPS14P3	15
NBL1	8025
HTR6	2
TMCO4	719
RNF186	0
OTUD3	441
PLA2G2A	191
PLA2G5	123
PLA2G2D	4
PLA2G2F	0
PLA2G2C	1
UBXN10	1803
101928017	12
LOC105376825	99
VWA5B1	4
LINC01141	0
CAMK2N1	2628
MUL1	892
FAM43B	11
CDA	124
PINK1	1518
MIR6084	163
PINK1-AS	1399
DDOST	4116
KIF17	223
SH2D5	0
112268222	1291
HP1BP3	4113
EIF4G3	1404
LOC105376830	1
LOC105376829	2
ECE1	3163
ECE1-AS1	1
NBPF3	170
ALPL	2827
LINC02596	5
RAP1GAP	1726
USP48	1447
LDLRAD2	1004
HSPG2	5347
LINC01635	7
LINC00339	296
CDC42-AS1	42
CDC42	8933
WNT4	127
LOC105376845	26
LOC105376850	5
LOC107985377	8
ZBTB40	930
EPHA8	0
C1QA	11373
C1QC	10827
C1QB	12217
EPHB2	237
MIR4253	4
KDM1A	1508
LUZP1	1033
HTR1D	9
LINC01355	8
HNRNPR	3365
ZNF436	535
ZNF436-AS1	77
TCEA3	1126
ASAP3	1076
E2F2	34
LOC101928163	1
LOC105376859	7
ID3	2190
MDS2	12
RPL11	21525
ELOA	1827
ELOA-AS1	193
PITHD1	1244
LOC105376860	154
LYPLA2	1090
GALE	1241
HMGCL	976
LOC105376861	2
FUCA1	1639
CNR2	6
PNRC2	4833
SRSF10	2047
LOC105376863	4
LOC107984931	1
MYOM3	13
IL22RA1	75
IFNLR1	442
LINC02800	0
GRHL3-AS1	1
GRHL3	14
STPG1	480
NIPAL3	1392
RCAN3AS	5
RCAN3	955
NCMAP-DT	61
NCMAP	489
SRRM1	2166
CLIC4	7433
RUNX3	639
107984932	2
RUNX3-AS1	4
SYF2	1352
RSRP1	885
LOC105376882	0
RHD	20
TMEM50A	1841
RHCE	903
MACO1	819
LDLRAP1	1136
MAN1C1	848
SELENON	3880
MTFR1L	841
LOC646471	124
AUNIP	157
PAQR7	529
STMN1	1217
MIR3917	94
PAFAH2	522
101928216	1
EXTL1	8
SLC30A2	7
TRIM63	19
PDIK1L	200
FAM110D	955
ZNF593	438
CNKSR1	588
CATSPER4	0
ZPLD2P	15
CEP85	209
SH3BGRL3	3503
UBXN11	1615
CD52	855
CRYBG2	22
ZNF683	43
DHDDS	592
DHDDS-AS1	6
HMGN2	8452
RPS6KA1	2554
LOC101928728	16
ARID1A	2571
PIGV	377
ZDHHC18	1063
SFN	1231
GPN2	596
GPATCH3	237
NUDC	3294
NR0B2	54
KDF1	285
TRNP1	368
TENT5B	1094
LOC101928391	10
SLC9A1	1563
WDTC1	3305
TMEM222	989
ACTG1P20	6
SYTL1	982
MAP3K6	1742
FCN3	1060
CD164L2	381
GPR3	60
WASF2	4445
LOC105376892	12
AHDC1	840
FGR	1608
LINC02574	2
IFI6	16704
FAM76A	319
STX12	2633
PPP1R8	757
THEMIS2	1944
RPA2	1057
SMPDL3B	361
XKR8	251
EYA3	624
PTAFR	1351
DNAJC8	2224
ATP5IF1	2050
SESN2	532
MED18	256
PHACTR4	1286
RCC1	435
SNHG3	179
SNORA73A	0
SNORA73B	3
TRNAU1AP	428
SNHG12	211
SNORD99	3
SNORA61	14
SNORA44	7
SNORA16A	10
RAB42	43
TAF12	431
LINC01715	8
RNU11	1
GMEB1	516
YTHDF2	2476
OPRD1	8
EPB41	1435
TMEM200B	417
SRSF4	2577
MECR	283
PTPRU	2487
LOC105378617	85
MATN1	12
MATN1-AS1	48
LAPTM5	11202
MIR4420	2
LOC105378620	25
LINC01778	5
SDC3	1654
PUM1	2130
SNORD103A	1
SNORD103B	3
LOC107984935	1
NKAIN1	2
SNRNP40	613
ZCCHC17	620
FABP3	269
SERINC2	627
LOC105378625	0
LOC105379772	0
LDC1P	1
LINC01226	1
LOC105378626	5
TINAGL1	1348
HCRTR1	189
PEF1	1689
PEF1-AS1	79
105378628	3
COL16A1	951
LOC101929444	40
ADGRB2	160
SPOCD1	135
PTP4A2	5875
KHDRBS1	4404
TMEM39B	409
KPNA6	1652
TXLNA	1625
CCDC28B	49
TMEM234	405
IQCC	99
DCDC2B	277
EIF3I	3256
MTMR9LP	293
FAM167B	192
LCK	197
HDAC1	2050
MARCKSL1	1155
LOC105378629	8
TSSK3	124
FAM229A	69
BSDC1	2353
ZBTB8B	2
ZBTB8A	405
LOC102723870	1
ZBTB8OS	450
RBBP4	2429
SYNC	901
KIAA1522	3500
YARS1	1461
S100PBP	474
FNDC5	52
HPCA	29
TMEM54	940
LOC105378632	2
RNF19B	2656
AK2	2893
AZIN2	165
112268224	2
TRIM62	165
ZNF362	904
A3GALT2	2
PHC2	2954
MIR3605	130
PHC2-AS1	2
ZSCAN20	84
CSMD2	52
105378640	0
LOC105378641	1
LOC105378642	3
GJB5	14
