sampleMetadata	Status	Pairs
RNA-seq_LADC17	tumor	p17
RNA-seq_LADC18	tumor	p18
RNA-seq_LADC19	tumor	p19
RNA-seq_LADC20	tumor	p20
RNA-seq_LADC22	tumor	p22
RNA-seq_LADC23	tumor	p23
RNA-seq_LADC24	tumor	p24
RNA-seq_LADC25	tumor	p25
RNA-seq_LADC26	tumor	p26
RNA-seq_LADC27	tumor	p27
RNA-seq_normal_lung17	normal	p17
RNA-seq_normal_lung18	normal	p18
RNA-seq_normal_lung19	normal	p19
RNA-seq_normal_lung20	normal	p20
RNA-seq_normal_lung22	normal	p22
RNA-seq_normal_lung23	normal	p23
RNA-seq_normal_lung24	normal	p24
RNA-seq_normal_lung25	normal	p25
RNA-seq_normal_lung26	normal	p26
RNA-seq_normal_lung27	normal	p27
