GeneID	RNA.seq_LADC33
DDX11L1	2
WASH7P	908
MIR6859-1	69
LOC100996442	55
LOC729737	1399
DDX11L17	1
WASH9P	1010
MIR6859-2	45
LOC112268260	11
LOC100132287	487
LOC105378947	1
MIR12136	999
OR4F16	10
100133331	482
107984841	112
107984847	138
107984849	42
LOC100288069	64
LINC01409	48
FAM87B	17
LINC00115	61
LINC01128	489
FAM41C	6
LOC284600	29
LINC02593	47
LOC107985728	12
SAMD11	173
NOC2L	1832
KLHL17	438
PLEKHN1	414
PERM1	57
HES4	285
ISG15	1463
AGRN	18291
LOC100288175	57
112267874	25
LOC105378948	82
RNF223	70
C1orf159	436
LINC01342	7
MIR200B	23
MIR200A	21
MIR429	30
TTLL10-AS1	13
TTLL10	34
TNFRSF18	177
TNFRSF4	336
SDF4	3996
B3GALT6	734
C1QTNF12	7
UBE2J2	1186
LINC01786	85
SCNN1D	137
ACAP3	1725
SNORD167	14
PUSL1	274
INTS11	1933
MIR6727	8
CPTP	977
TAS1R3	56
DVL1	1909
MIR6808	10
MXRA8	2975
AURKAIP1	1653
CCNL2	7395
MRPL20-AS1	742
MRPL20	1452
107984868	24
ANKRD65	1104
LOC105378585	62
TMEM88B	4
LINC01770	88
LOC107985729	68
VWA1	2894
ATAD3C	440
ATAD3B	1089
ATAD3A	717
TMEM240	20
SSU72	2100
FNDC10	379
LOC105378586	41
MIB2	1820
MMP23B	186
CDK11B	1559
SLC35E2B	2859
MMP23A	131
CDK11A	1269
SLC35E2A	1721
LOC112268218	128
NADK	2015
GNB1	7650
LOC105378949	18
CALML6	41
TMEM52	56
CFAP74	8
LOC107984872	1
LOC105378589	7
GABRD	70
LOC105378590	0
LOC105378591	1
PRKCZ	866
PRKCZ-AS1	75
FAAP20	1059
LOC112268219	189
LOC105378593	20
SKI	4107
MORN1	106
LOC100129534	41
RER1	3593
PEX10	712
PLCH2	142
PANK4	685
HES5	3
TNFRSF14-AS1	651
TNFRSF14	2749
LOC100996583	3
PRXL2B	1022
MMEL1	152
MMEL1-AS1	7
TTC34	107
LOC105378598	1
LOC107984904	0
PRDM16-DT	158
PRDM16	676
LOC105378606	4
LOC107984909	2
LOC105378604	20
ARHGEF16	716
MEGF6	3736
LOC105378608	30
105378607	1
TPRG1L	1294
WRAP73	625
TP73	118
TP73-AS3	2
TP73-AS1	1025
CCDC27	7
SMIM1	160
LRRC47	1281
CEP104	1192
DFFB	280
107984910	6
C1orf174	630
LINC01134	13
AJAP1	17
LOC107984911	0
NPHP4	595
KCNAB2	1704
CHD5	3
RPL22	8800
107985733	187
RNF207-AS1	17
RNF207	519
ICMT	3005
LINC00337	9
GPR153	534
ACOT7	397
HES2	109
ESPN	94
TNFRSF25	418
PLEKHG5	562
NOL9	614
TAS1R1	2
LOC107984912	1
ZBTB48	634
KLHL21	1082
LOC107984913	5
PHF13	644
THAP3	643
DNAJC11	1067
CAMTA1-DT	10
CAMTA1	946
LOC105376689	143
VAMP3	3299
PER3	1161
UTS2	70
TNFRSF9	298
PARK7	3386
ERRFI1	4485
LOC107984915	0
LINC01714	1
SLC45A1	29
RERE	4421
RERE-AS1	11
ENO1	32611
MIR6728	5
ENO1-AS1	26
CA6	3
SLC2A5	188
GPR157	540
MIR34AHG	508
MIR34A	3
LNCTAM34A	51
H6PD	3657
SPSB1	1185
LINC02606	12
SLC25A33	318
TMEM201	514
107985734	17
PIK3CD	1261
PIK3CD-AS1	4
PIK3CD-AS2	39
CLSTN1	7719
CTNNBIP1	1185
LOC105376717	95
LZIC	1033
NMNAT1	271
RBP7	28
UBE4B	1619
KIF1B	2048
105376725	11
PGD	4000
CENPS-CORT	131
CENPS	127
CORT	11
DFFA	1663
PEX14	655
CASZ1	962
LOC105376733	1
C1orf127	24
TARDBP	4601
MASP2	97
SRM	759
EXOSC10	1740
EXOSC10-AS1	92
MTOR	2015
MTOR-AS1	35
ANGPTL7	26
UBIAD1	568
LOC105376739	0
LOC105376740	0
DISP3	91
112268221	8
FBXO2	37
FBXO44	550
FBXO6	430
MAD2L2	654
DRAXIN	57
AGTRAP	841
C1orf167	403
MTHFR	1322
CLCN6	722
NPPA-AS1	138
NPPA	12
KIAA2013	1914
PLOD1	3396
MFN2	2704
MIIP	583
MIR6729	2
TNFRSF8	49
MIR7846	20
TNFRSF1B	1908
107984917	3
VPS13D	2575
SNORA59A	8
LINC02766	18
DHRS3	1645
MIR6730	10
AADACL4	0
C1orf158	0
LRRC38	1
PDPN	711
PRDM2	2265
KAZN	835
LOC107985467	8
LOC105376759	4
LOC107985469	0
TMEM51-AS1	160
TMEM51	779
TMEM51-AS2	9
FHAD1	114
FHAD1-AS1	24
LOC101927441	6
EFHD2	2632
CTRC	0
CELA2A	5
CELA2B	8
CASP9	341
DNAJC16	843
AGMAT	32
DDI2	2027
RSC1A1	225
PLEKHM2	2459
SLC25A34	84
SLC25A34-AS1	8
TMEM82	0
FBLIM1	1932
UQCRHL	24
FLJ37453	169
SPEN	2800
ZBTB17	1072
SRARP	0
HSPB7	101
CLCNKA	16
CLCNKB	41
FAM131C	2
EPHA2	1870
LOC101927479	52
ARHGEF19	855
ANO7L1	77
CPLANE2	92
FBXO42	937
SZRD1	2444
SPATA21	1347
NECAP2	2176
LINC01772	60
CROCCP3	251
RNU1-1	0
LINC01783	5
NBPF1	1501
105376794	457
CROCCP2	343
MST1P2	105
LOC107985736	32
RNU1-3	0
ESPNP	54
MST1L	208
LOC112267871	11
LOC105376805	251
CROCC	1313
MFAP2	878
LOC105376806	361
ATP13A2	1909
SDHB	1202
PADI2	699
LINC02783	30
PADI1	802
PADI3	15
PADI4	21
PADI6	0
RCC2	3977
ARHGEF10L	2032
ACTL8	0
IGSF21	41
KLHDC7A	537
PAX7	0
ALDH4A1	422
IFFO2	1744
UBR4	5235
EMC1-AS1	102
EMC1	1600
MRTO4	591
AKR7L	6
AKR7A3	35
LOC100506730	90
AKR7A2	1007
SLC66A1	490
CAPZB	4613
MICOS10	536
MICOS10-NBL1	2656
RPS14P3	22
NBL1	2411
HTR6	6
TMCO4	934
RNF186	4
OTUD3	776
PLA2G2A	14
PLA2G5	50
PLA2G2D	302
PLA2G2F	0
PLA2G2C	5
UBXN10	67
101928017	3
LOC105376825	1
VWA5B1	9
LINC01141	5
CAMK2N1	1174
MUL1	1154
FAM43B	4
CDA	13
PINK1	1100
MIR6084	61
PINK1-AS	1096
DDOST	5941
KIF17	89
SH2D5	4
112268222	1381
HP1BP3	5690
EIF4G3	1992
LOC105376830	3
LOC105376829	2
ECE1	4743
ECE1-AS1	10
NBPF3	582
ALPL	1755
LINC02596	1
RAP1GAP	1102
USP48	1932
LDLRAD2	1931
HSPG2	13459
LINC01635	15
LINC00339	559
CDC42-AS1	65
CDC42	9011
WNT4	135
LOC105376845	10
LOC105376850	2
LOC107985377	3
ZBTB40	1512
EPHA8	0
C1QA	8244
C1QC	8923
C1QB	12710
EPHB2	905
MIR4253	24
KDM1A	1915
LUZP1	1987
HTR1D	41
LINC01355	209
HNRNPR	4028
ZNF436	867
ZNF436-AS1	86
TCEA3	1672
ASAP3	898
E2F2	137
LOC101928163	4
LOC105376859	6
ID3	1748
MDS2	3
RPL11	12460
ELOA	1670
ELOA-AS1	240
PITHD1	1113
LOC105376860	366
LYPLA2	1954
GALE	1150
HMGCL	778
LOC105376861	2
FUCA1	5141
CNR2	8
PNRC2	4137
SRSF10	3495
LOC105376863	1
LOC107984931	0
MYOM3	1
IL22RA1	14
IFNLR1	367
LINC02800	0
GRHL3-AS1	9
GRHL3	25
