GeneID	RNA.seq_LADC71
DDX11L1	2
WASH7P	1400
MIR6859-1	50
LOC100996442	93
LOC729737	3058
DDX11L17	2
WASH9P	1648
MIR6859-2	39
LOC112268260	24
LOC100132287	1063
LOC105378947	4
MIR12136	2205
OR4F16	10
100133331	810
107984841	109
107984847	139
107984849	88
LOC100288069	116
LINC01409	46
FAM87B	16
LINC00115	61
LINC01128	362
FAM41C	2
LOC284600	7
LINC02593	33
LOC107985728	18
SAMD11	190
NOC2L	2032
KLHL17	474
PLEKHN1	312
PERM1	62
HES4	176
ISG15	2821
AGRN	16652
LOC100288175	46
112267874	25
LOC105378948	90
RNF223	24
C1orf159	602
LINC01342	5
MIR200B	18
MIR200A	5
MIR429	25
TTLL10-AS1	8
TTLL10	38
TNFRSF18	185
TNFRSF4	416
SDF4	3979
B3GALT6	559
C1QTNF12	18
UBE2J2	1301
LINC01786	93
SCNN1D	229
ACAP3	2565
SNORD167	18
PUSL1	490
INTS11	2161
MIR6727	15
CPTP	927
TAS1R3	120
DVL1	1950
MIR6808	8
MXRA8	3058
AURKAIP1	1945
CCNL2	7492
MRPL20-AS1	690
MRPL20	1253
107984868	77
ANKRD65	1303
LOC105378585	39
TMEM88B	0
LINC01770	103
LOC107985729	59
VWA1	3522
ATAD3C	257
ATAD3B	1205
ATAD3A	1263
TMEM240	29
SSU72	2304
FNDC10	162
LOC105378586	9
MIB2	1447
MMP23B	162
CDK11B	2101
SLC35E2B	4025
MMP23A	88
CDK11A	1388
SLC35E2A	1266
LOC112268218	176
NADK	2687
GNB1	8271
LOC105378949	12
CALML6	12
TMEM52	19
CFAP74	21
LOC107984872	2
LOC105378589	14
GABRD	79
LOC105378590	0
LOC105378591	0
PRKCZ	822
PRKCZ-AS1	85
FAAP20	1033
LOC112268219	141
LOC105378593	7
SKI	4243
MORN1	191
LOC100129534	70
RER1	3437
PEX10	653
PLCH2	116
PANK4	766
HES5	2
TNFRSF14-AS1	461
TNFRSF14	2016
LOC100996583	9
PRXL2B	985
MMEL1	284
MMEL1-AS1	3
TTC34	49
LOC105378598	0
LOC107984904	0
PRDM16-DT	355
PRDM16	1146
LOC105378606	7
LOC107984909	8
LOC105378604	20
ARHGEF16	1481
MEGF6	3325
LOC105378608	22
105378607	0
TPRG1L	979
WRAP73	844
TP73	259
TP73-AS3	4
TP73-AS1	1081
CCDC27	1
SMIM1	54
LRRC47	1446
CEP104	1102
DFFB	288
107984910	12
C1orf174	519
LINC01134	12
AJAP1	8
LOC107984911	1
NPHP4	591
KCNAB2	1127
CHD5	4
RPL22	6808
107985733	64
RNF207-AS1	8
RNF207	526
ICMT	3796
LINC00337	7
GPR153	413
ACOT7	472
HES2	26
ESPN	234
TNFRSF25	592
PLEKHG5	945
NOL9	581
TAS1R1	30
LOC107984912	7
ZBTB48	686
KLHL21	656
LOC107984913	7
PHF13	651
THAP3	828
DNAJC11	1349
CAMTA1-DT	8
CAMTA1	790
LOC105376689	58
VAMP3	2774
PER3	1245
UTS2	103
TNFRSF9	102
PARK7	3761
ERRFI1	5072
LOC107984915	1
LINC01714	2
SLC45A1	41
RERE	4384
RERE-AS1	5
ENO1	44781
MIR6728	7
ENO1-AS1	15
CA6	1
SLC2A5	377
GPR157	197
MIR34AHG	262
MIR34A	0
LNCTAM34A	27
H6PD	2697
SPSB1	863
LINC02606	16
SLC25A33	259
TMEM201	653
107985734	19
PIK3CD	881
PIK3CD-AS1	3
PIK3CD-AS2	73
CLSTN1	7173
CTNNBIP1	1715
LOC105376717	154
LZIC	1009
NMNAT1	156
RBP7	57
UBE4B	1710
KIF1B	1666
105376725	7
PGD	5127
CENPS-CORT	192
CENPS	195
CORT	16
DFFA	1166
PEX14	730
CASZ1	1086
LOC105376733	0
C1orf127	29
TARDBP	5663
MASP2	119
SRM	838
EXOSC10	2521
EXOSC10-AS1	102
MTOR	2357
MTOR-AS1	45
ANGPTL7	2
UBIAD1	550
LOC105376739	0
LOC105376740	0
DISP3	61
112268221	4
FBXO2	71
FBXO44	422
FBXO6	474
MAD2L2	714
DRAXIN	48
AGTRAP	1236
C1orf167	214
MTHFR	856
CLCN6	839
NPPA-AS1	116
NPPA	15
KIAA2013	1697
PLOD1	4180
MFN2	2738
MIIP	774
MIR6729	3
TNFRSF8	45
MIR7846	1
TNFRSF1B	1747
107984917	3
VPS13D	1912
SNORA59A	14
LINC02766	4
DHRS3	1905
MIR6730	3
AADACL4	0
C1orf158	5
LRRC38	1
PDPN	283
PRDM2	1863
KAZN	728
LOC107985467	0
LOC105376759	0
LOC107985469	0
TMEM51-AS1	221
TMEM51	1455
TMEM51-AS2	2
FHAD1	177
FHAD1-AS1	47
LOC101927441	5
EFHD2	2079
CTRC	2
CELA2A	0
CELA2B	8
CASP9	510
DNAJC16	662
AGMAT	49
DDI2	2102
RSC1A1	261
PLEKHM2	2275
SLC25A34	58
SLC25A34-AS1	3
TMEM82	3
FBLIM1	3107
UQCRHL	51
FLJ37453	168
SPEN	2399
ZBTB17	1292
SRARP	8
HSPB7	63
CLCNKA	16
CLCNKB	60
FAM131C	3
EPHA2	2114
LOC101927479	69
ARHGEF19	1933
ANO7L1	76
CPLANE2	113
FBXO42	1070
SZRD1	2752
SPATA21	1691
NECAP2	2102
LINC01772	43
CROCCP3	223
RNU1-1	0
LINC01783	7
NBPF1	1085
105376794	876
CROCCP2	714
MST1P2	258
LOC107985736	29
RNU1-3	1
ESPNP	188
MST1L	752
LOC112267871	37
LOC105376805	232
CROCC	1097
MFAP2	767
LOC105376806	315
ATP13A2	2492
SDHB	1379
PADI2	5455
LINC02783	40
PADI1	1282
PADI3	56
PADI4	8
PADI6	0
RCC2	7628
ARHGEF10L	1804
ACTL8	0
IGSF21	23
KLHDC7A	489
PAX7	172
ALDH4A1	635
IFFO2	601
UBR4	5488
EMC1-AS1	113
EMC1	2085
MRTO4	832
AKR7L	17
AKR7A3	27
LOC100506730	106
AKR7A2	1011
SLC66A1	643
CAPZB	5568
MICOS10	537
MICOS10-NBL1	1645
RPS14P3	54
NBL1	1388
HTR6	5
TMCO4	924
RNF186	3
OTUD3	554
PLA2G2A	93
PLA2G5	44
PLA2G2D	305
PLA2G2F	2
PLA2G2C	1
UBXN10	400
101928017	18
LOC105376825	6
VWA5B1	55
LINC01141	2
CAMK2N1	982
MUL1	1062
FAM43B	9
CDA	38
PINK1	830
MIR6084	28
PINK1-AS	1111
DDOST	9301
KIF17	86
SH2D5	23
112268222	1420
HP1BP3	5180
EIF4G3	2895
LOC105376830	7
LOC105376829	3
ECE1	5387
ECE1-AS1	22
NBPF3	537
ALPL	721
LINC02596	1
RAP1GAP	4159
USP48	2150
LDLRAD2	2438
HSPG2	13078
LINC01635	16
LINC00339	290
CDC42-AS1	10
CDC42	9663
WNT4	68
LOC105376845	9
LOC105376850	24
LOC107985377	3
ZBTB40	1261
EPHA8	3
C1QA	5009
C1QC	6980
C1QB	7206
EPHB2	1425
MIR4253	42
KDM1A	2571
LUZP1	1338
HTR1D	11
LINC01355	360
HNRNPR	5298
ZNF436	1017
ZNF436-AS1	159
TCEA3	1806
ASAP3	742
E2F2	202
LOC101928163	10
LOC105376859	10
ID3	886
MDS2	2
RPL11	10690
ELOA	1666
ELOA-AS1	208
PITHD1	1201
LOC105376860	470
LYPLA2	2768
GALE	1837
HMGCL	728
LOC105376861	6
FUCA1	3754
CNR2	31
PNRC2	4224
SRSF10	4670
LOC105376863	8
LOC107984931	1
MYOM3	6
IL22RA1	96
IFNLR1	484
LINC02800	0
GRHL3-AS1	57
GRHL3	215
STPG1	302
NIPAL3	646
RCAN3AS	1
RCAN3	1136
NCMAP-DT	87
NCMAP	525
SRRM1	3578
CLIC4	6060
RUNX3	769
107984932	6
RUNX3-AS1	54
SYF2	1254
RSRP1	2734
LOC105376882	2
RHD	32
TMEM50A	2319
RHCE	1390
MACO1	1797
LDLRAP1	1942
MAN1C1	900
SELENON	6943
MTFR1L	825
LOC646471	248
AUNIP	284
PAQR7	447
STMN1	8988
MIR3917	959
PAFAH2	630
101928216	3
EXTL1	20
SLC30A2	5
TRIM63	8
PDIK1L	752
FAM110D	63
ZNF593	426
CNKSR1	1287
CATSPER4	0
ZPLD2P	1
CEP85	673
SH3BGRL3	3530
UBXN11	1276
CD52	328
CRYBG2	88
ZNF683	64
DHDDS	784
DHDDS-AS1	12
HMGN2	12334
RPS6KA1	2280
LOC101928728	36
ARID1A	4575
PIGV	450
ZDHHC18	1114
SFN	3756
GPN2	878
GPATCH3	375
NUDC	2726
NR0B2	31
KDF1	628
TRNP1	139
TENT5B	93
LOC101928391	7
SLC9A1	1616
WDTC1	2263
TMEM222	1045
ACTG1P20	32
SYTL1	1905
MAP3K6	1428
FCN3	162
CD164L2	53
GPR3	24
WASF2	3499
LOC105376892	1
AHDC1	2400
FGR	555
LINC02574	0
IFI6	11268
FAM76A	420
STX12	1554
PPP1R8	1262
THEMIS2	1057
RPA2	1389
SMPDL3B	1203
XKR8	328
EYA3	680
PTAFR	823
DNAJC8	2546
ATP5IF1	1288
SESN2	687
MED18	227
PHACTR4	2169
RCC1	2350
SNHG3	537
SNORA73A	22
SNORA73B	20
TRNAU1AP	677
SNHG12	724
SNORD99	10
SNORA61	82
SNORA44	30
SNORA16A	47
RAB42	264
TAF12	581
LINC01715	6
RNU11	2
GMEB1	550
YTHDF2	3166
OPRD1	34
EPB41	2144
TMEM200B	273
SRSF4	3451
MECR	538
PTPRU	3497
LOC105378617	0
MATN1	26
MATN1-AS1	56
LAPTM5	12381
MIR4420	8
LOC105378620	26
LINC01778	2
SDC3	6829
PUM1	4241
SNORD103A	24
SNORD103B	14
LOC107984935	3
NKAIN1	5
SNRNP40	1242
ZCCHC17	816
FABP3	149
SERINC2	8212
LOC105378625	9
LOC105379772	27
LDC1P	15
LINC01226	36
LOC105378626	74
TINAGL1	1488
HCRTR1	209
PEF1	1550
PEF1-AS1	119
105378628	3
COL16A1	1459
LOC101929444	35
ADGRB2	134
SPOCD1	157
PTP4A2	7665
KHDRBS1	5243
TMEM39B	754
KPNA6	1991
TXLNA	2765
CCDC28B	147
TMEM234	322
IQCC	232
DCDC2B	75
EIF3I	3425
MTMR9LP	485
FAM167B	224
LCK	791
HDAC1	4974
MARCKSL1	11023
LOC105378629	2
TSSK3	158
FAM229A	35
BSDC1	2191
ZBTB8B	17
ZBTB8A	405
LOC102723870	2
ZBTB8OS	518
RBBP4	6130
SYNC	1644
KIAA1522	5744
YARS1	2207
S100PBP	1153
FNDC5	15
HPCA	28
TMEM54	1039
LOC105378632	1
RNF19B	787
AK2	3466
AZIN2	104
112268224	5
TRIM62	274
ZNF362	1495
A3GALT2	5
PHC2	4998
MIR3605	196
PHC2-AS1	3
ZSCAN20	289
CSMD2	161
105378640	0
LOC105378641	0
LOC105378642	1
GJB5	182
GJB4	84
GJB3	577
GJA4	424
SMIM12	810
DLGAP3	14
GPR199P	51
TMEM35B	527
ZMYM6	738
ZMYM1	484
LOC105378644	3
SFPQ	11841
ZMYM4	2274
ZMYM4-AS1	33
KIAA0319L	3227
NCDN	1164
TFAP2E	74
TFAP2E-AS1	16
PSMB2	2950
C1orf216	349
CLSPN	660
AGO4	973
AGO1	1116
AGO3	990
TEKT2	145
ADPRS	918
COL8A2	702
TRAPPC3	1477
MAP7D1	3331
THRAP3	4373
SH3D21	436
EVA1B	309
STK40	1706
LSM10	659
OSCP1	209
MRPS15	1231
CSF3R	1157
GRIK3	8
LINC01137	148
ZC3H12A	969
MIR6732	23
MEAF6	1898
MIR5581	5
LOC105378649	48
SNIP1	571
DNALI1	1378
GNL2	1572
RSPO1	4
C1orf109	570
CDCA8	521
EPHA10	105
MANEAL	322
YRDC	371
C1orf122	441
MTF1	509
INPP5B	599
LOC105378651	7
SF3A3	2244
FHL3	489
UTP11	868
POU3F1	23
MIR3659HG	0
LOC105378657	0
RRAGC	886
GJA9-MYCBP	439
MYCBP	423
LOC105378663	6
GJA9	14
RHBDL2	229
LOC105378662	45
AKIRIN1	1788
NDUFS5	1406
MACF1	8774
643314	298
105378950	1
BMP8A	367
OXCT2P1	17
PPIEL	299
PABPC4	2972
PABPC4-AS1	545
SNORA55	27
HEYL	580
NT5C1A	0
HPCAL4	17
PPIE	1208
BMP8B	347
OXCT2	11
LOC101929536	8
105378951	41
LINC02811	18
105378665	8
TRIT1	653
MYCL	301
MYCL-AS1	22
MFSD2A	583
CAP1	6824
PPT1	7810
RLF	899
TMCO2	0
ZMPSTE24	2465
COL9A2	1132
107984945	7
SMAP2	1779
ZFP69B	117
ZFP69	90
LOC105378672	16
EXO5	356
ZNF684	104
RIMS3	134
LOC105378675	10
NFYC-AS1	177
NFYC	1314
KCNQ4	29
CITED4	63
CTPS1	1177
SLFNL1-AS1	144
SLFNL1	34
SCMH1	857
FOXO6	219
FOXO6-AS1	3
LOC105378678	14
EDN2	14
HIVEP3	594
GUCA2B	0
GUCA2A	0
FOXJ3	1983
RIMKLA	280
ZMYND12	33
CCDC30	530
PPCS	1476
PPIH	632
YBX1	9193
CLDN19	0
P3H1	1237
C1orf50	212
TMEM269-DT	3
TMEM269	3
LOC107984946	2
SVBP	248
ERMAP	507
ZNF691	450
LOC339539	4
SLC2A1	6962
SLC2A1-AS1	45
FAM183A	93
EBNA1BP2	1395
CFAP57	68
LOC105378685	12
TMEM125	1910
C1orf210	433
TIE1	865
MPL	12
LOC105378687	10
CDC20	951
ELOVL1	2143
MIR6734	10
LOC112268225	14
MED8	1076
MED8-AS1	181
SZT2	1680
SZT2-AS1	135
HYI	341
PTPRF	11470
KDM4A	1571
KDM4A-AS1	202
ST3GAL3	390
ARTN	68
LOC105378688	30
LOC101929609	101
IPO13	1212
DPH2	739
ATP6V0B	2457
B4GALT2	1371
CCDC24	499
SLC6A9	475
LOC107984948	9
KLF17	8
DMAP1	882
ERI3	1328
ERI3-IT1	37
RNF220	1194
LOC107984950	412
TMEM53	387
ARMH1	53
LOC105378690	8
RNU5F-1	2
RNU5D-1	8
KIF2C	826
RPS8	14747
SNORD55	86
SNORD46	11
SNORD38A	23
SNORD38B	13
BEST4	63
PLK3	685
DYNLT4	89
BTBD19	154
LOC107984952	27
PTCH2	75
EIF2B3	534
HECTD3	1216
UROD	1071
ZSWIM5	398
LOC105378691	14
LINC01144	14
HPDL	21
MUTYH	395
TOE1	345
TESK2	149
CCDC163	41
MMACHC	1320
PRDX1	4898
AKR1A1	2896
NASP	5171
CCDC17	92
GPBP1L1	3457
RPS15AP10	6
TMEM69	562
IPP	268
MAST2	1789
P3R3URF-PIK3R3	1865
PIK3R3	2169
LOC101929626	8
TSPAN1	9226
POMGNT1	1411
LURAP1	19
RAD54L	354
LRRC41	2368
UQCRH	1836
NSUN4	783
FAAH	859
FAAHP1	27
LINC01398	2
DMBX1	46
MKNK1-AS1	227
MKNK1	1225
MOB3C	610
ATPAF1	726
EFCAB14-AS1	135
EFCAB14	3452
LOC105378698	24
LOC105378699	1
CYP4B1	666
CYP4Z2P	10
CYP4A11	2
CYP4X1	966
CYP4Z1	33
CYP4A22	5
LOC105378701	8
LINC00853	9
PDZK1IP1	1100
TAL1	92
STIL	595
CMPK1	5416
LINC01389	18
FOXE3	5
FOXD2-AS1	79
FOXD2	8
LINC01738	0
TRABD2B	62
LINC02794	4
SKINT1L	10
SLC5A9	83
SPATA6	377
AGBL4	63
BEND5	187
ELAVL4	8
DMRTA2	338
LOC105378714	18
FAF1	1195
FAF1-AS1	0
CDKN2C	442
LINC01562	0
RNF11	1989
TTC39A	926
TTC39A-AS1	13
EPS15	2009
EPS15-AS1	3
CALR4P	2
OSBPL9	2595
NRDC	3882
105378721	362
MIR761	16
RAB3B	57
TXNDC12	2725
KTI12	194
BTF3L4	1964
ZFYVE9	430
CC2D1B	1808
ORC1	260
PRPF38A	1553
TUT4	1256
GPX7	397
SHISAL2A	32
COA7	667
ZYG11B	997
ZYG11A	6
ECHDC2	1492
SCP2	3985
PODN	980
SLC1A7	48
CPT2	812
CZIB	837
MAGOH	513
LOC100507564	42
LRP8	623
LOC105378728	18
LOC105378726	31
LOC105378731	4
105378730	9
LINC02812	16
GLIS1	12
NDC1	1264
YIPF1	1073
DIO1	9
HSPB11	523
LRRC42	788
LDLRAD1	16
TMEM59	6431
TCEANC2	480
CDCP2	2
CYB5RL	275
MRPL37	1632
SSBP3	1609
SSBP3-AS1	35
ACOT11	222
FAM151A	66
MROH7-TTC4	350
MROH7	16
TTC4	335
PARS2	167
TTC22	300
LEXM	0
DHCR24	15559
DHCR24-DT	21
TMEM61	132
BSND	0
PCSK9	887
USP24	2432
LOC100507634	18
LINC01767	18
PLPP3	1643
PRKAA2	314
FYB2	42
C8A	7
C8B	25
105378745	0
LOC112267900	1
DAB1	8
LOC107984960	2
OMA1	480
TACSTD2	10361
MYSM1	1806
LOC112268263	27
LOC105378751	50
JUN	23980
LINC01135	7
LOC101926907	80
LINC02777	20
LINC01358	12
FGGY-DT	11
FGGY	172
LOC101926944	7
LOC105378758	1
HOOK1	1253
CYP2J2	237
C1orf87	7
LINC01748	11
LOC101926964	3
LOC105378764	2
NFIA-AS2	8
NFIA	1164
NFIA-AS1	1
LOC107984964	0
MGC34796	1
TM2D1	683
PATJ	1995
LOC107984965	1
L1TD1	19
KANK4	30
USP1	2316
DOCK7	1079
ANGPTL3	15
ATG4C	507
LINC00466	0
FOXD3-AS1	32
FOXD3	15
ALG6	726
ITGB3BP	478
LOC102724319	2
EFCAB7	266
DLEU2L	21
PGM1	2222
ROR1	306
ROR1-AS1	15
LOC105378773	29
UBE2U	9
LOC107984966	3
CACHD1	561
RAVER2	595
JAK1	4564
LINC01359	1
MIR3671	1
AK4	1047
DNAJC6	76
LOC102724416	0
LEPR	512
LEPROT	2684
PDE4B	658
LOC105378776	2
SGIP1	194
DYNLT5	30
DNAI4	157
MIER1	1388
SLC35D1	390
C1orf141	2
IL23R	8
IL12RB2	20
105378779	1
SERBP1	9255
GADD45A	709
GNG12	3236
LOC105378781	3
GNG12-AS1	102
DIRAS3	75
WLS	4071
RPE65	3
DEPDC1	428
LRRC7	8
