GeneID	RNA-seq_LADC39
DDX11L1	1
WASH7P	683
MIR6859-1	28
LOC100996442	24
LOC729737	576
DDX11L17	2
WASH9P	834
MIR6859-2	18
LOC112268260	20
LOC100132287	336
LOC105378947	4
MIR12136	1201
OR4F16	6
100133331	263
107984841	33
107984847	47
107984849	7
LOC100288069	28
LINC01409	27
FAM87B	5
LINC00115	59
LINC01128	359
FAM41C	4
LOC284600	12
LINC02593	43
LOC107985728	19
SAMD11	307
NOC2L	1936
KLHL17	326
PLEKHN1	336
PERM1	82
HES4	138
ISG15	2747
AGRN	8017
LOC100288175	76
112267874	29
LOC105378948	110
RNF223	23
C1orf159	443
LINC01342	1
MIR200B	1
MIR200A	0
MIR429	5
TTLL10-AS1	3
TTLL10	30
TNFRSF18	287
TNFRSF4	531
SDF4	5094
B3GALT6	587
C1QTNF12	24
UBE2J2	1185
LINC01786	74
SCNN1D	193
ACAP3	1322
SNORD167	5
PUSL1	381
INTS11	2139
MIR6727	8
CPTP	919
TAS1R3	90
DVL1	2134
MIR6808	5
MXRA8	11014
AURKAIP1	2222
CCNL2	4767
MRPL20-AS1	682
MRPL20	1695
107984868	27
ANKRD65	623
LOC105378585	31
TMEM88B	0
LINC01770	74
LOC107985729	36
VWA1	2392
ATAD3C	234
ATAD3B	932
ATAD3A	837
TMEM240	54
SSU72	2926
FNDC10	708
LOC105378586	36
MIB2	1338
MMP23B	484
CDK11B	1479
SLC35E2B	2222
MMP23A	430
CDK11A	1188
SLC35E2A	859
LOC112268218	336
NADK	2919
GNB1	10781
LOC105378949	14
CALML6	31
TMEM52	38
CFAP74	39
LOC107984872	3
LOC105378589	15
GABRD	237
LOC105378590	1
LOC105378591	0
PRKCZ	482
PRKCZ-AS1	35
FAAP20	1240
LOC112268219	188
LOC105378593	9
SKI	3917
MORN1	155
LOC100129534	72
RER1	3976
PEX10	810
PLCH2	71
PANK4	732
HES5	7
TNFRSF14-AS1	554
TNFRSF14	2770
LOC100996583	7
PRXL2B	1092
MMEL1	251
MMEL1-AS1	2
TTC34	55
LOC105378598	3
LOC107984904	0
PRDM16-DT	109
PRDM16	337
LOC105378606	2
LOC107984909	6
LOC105378604	64
ARHGEF16	701
MEGF6	2691
LOC105378608	17
105378607	2
TPRG1L	1647
WRAP73	686
TP73	358
TP73-AS3	2
TP73-AS1	836
CCDC27	12
SMIM1	83
LRRC47	1380
CEP104	890
DFFB	240
107984910	11
C1orf174	650
LINC01134	3
AJAP1	17
LOC107984911	0
NPHP4	678
KCNAB2	2743
CHD5	1
RPL22	9507
107985733	114
RNF207-AS1	11
RNF207	385
ICMT	3552
LINC00337	11
GPR153	556
ACOT7	869
HES2	202
ESPN	407
TNFRSF25	353
PLEKHG5	531
NOL9	534
TAS1R1	10
LOC107984912	2
ZBTB48	645
KLHL21	1043
LOC107984913	14
PHF13	736
THAP3	697
DNAJC11	848
CAMTA1-DT	18
CAMTA1	921
LOC105376689	94
VAMP3	3737
PER3	765
UTS2	121
TNFRSF9	138
PARK7	4866
ERRFI1	4660
LOC107984915	2
LINC01714	4
SLC45A1	70
