GeneID	RNA-seq_normal_lung47
DDX11L1	3
WASH7P	986
MIR6859-1	25
LOC100996442	75
LOC729737	1781
DDX11L17	2
WASH9P	984
MIR6859-2	10
LOC112268260	8
LOC100132287	852
LOC105378947	2
MIR12136	1936
OR4F16	6
100133331	630
107984841	97
107984847	138
107984849	55
LOC100288069	87
LINC01409	29
FAM87B	14
LINC00115	17
LINC01128	531
FAM41C	3
LOC284600	8
LINC02593	53
LOC107985728	35
SAMD11	401
NOC2L	1859
KLHL17	329
PLEKHN1	57
PERM1	14
HES4	882
ISG15	1203
AGRN	13115
LOC100288175	12
112267874	15
LOC105378948	47
RNF223	66
C1orf159	533
LINC01342	1
MIR200B	6
MIR200A	8
MIR429	23
TTLL10-AS1	33
TTLL10	67
TNFRSF18	79
TNFRSF4	232
SDF4	6248
B3GALT6	864
C1QTNF12	65
UBE2J2	1544
LINC01786	60
SCNN1D	209
ACAP3	2263
SNORD167	26
PUSL1	331
INTS11	2674
MIR6727	12
CPTP	934
TAS1R3	86
DVL1	3234
MIR6808	7
MXRA8	2895
AURKAIP1	2297
CCNL2	7355
MRPL20-AS1	860
MRPL20	2207
107984868	25
ANKRD65	525
LOC105378585	41
TMEM88B	2
LINC01770	109
LOC107985729	51
VWA1	3138
ATAD3C	603
ATAD3B	1320
ATAD3A	642
TMEM240	69
SSU72	3544
FNDC10	273
LOC105378586	30
MIB2	3693
MMP23B	877
CDK11B	2017
SLC35E2B	2789
MMP23A	520
CDK11A	1885
SLC35E2A	1443
LOC112268218	344
NADK	2709
GNB1	11523
LOC105378949	31
CALML6	16
TMEM52	20
CFAP74	31
LOC107984872	1
LOC105378589	4
GABRD	44
LOC105378590	4
LOC105378591	3
PRKCZ	3873
PRKCZ-AS1	215
FAAP20	2287
LOC112268219	213
LOC105378593	36
SKI	3910
MORN1	154
LOC100129534	52
RER1	4094
PEX10	1014
PLCH2	281
PANK4	816
HES5	8
TNFRSF14-AS1	820
TNFRSF14	3844
LOC100996583	10
PRXL2B	940
MMEL1	314
MMEL1-AS1	4
TTC34	73
LOC105378598	0
LOC107984904	0
PRDM16-DT	351
PRDM16	832
LOC105378606	2
LOC107984909	1
LOC105378604	14
ARHGEF16	595
MEGF6	4818
LOC105378608	19
105378607	12
TPRG1L	2653
WRAP73	570
TP73	53
TP73-AS3	2
