Ensembl_gene_id	null_IR_1
ENSMUSG00000075014	105
ENSMUSG00000075015	20
ENSMUSG00000098078	1
ENSMUSG00000041801	0
ENSMUSG00000066315	2
ENSMUSG00000069306	2643
ENSMUSG00000061167	2537
ENSMUSG00000081406	6610
ENSMUSG00000078087	8887
ENSMUSG00000096385	3
ENSMUSG00000023067	16
ENSMUSG00000095186	38
ENSMUSG00000096519	47
ENSMUSG00000095891	13
ENSMUSG00000095547	72
ENSMUSG00000091028	3
ENSMUSG00000026700	26
ENSMUSG00000069045	6583
ENSMUSG00000081604	5200
ENSMUSG00000061983	12526
ENSMUSG00000074564	4
ENSMUSG00000101939	1
ENSMUSG00000043483	2647
ENSMUSG00000069049	3110
ENSMUSG00000009628	181
ENSMUSG00000095280	14
ENSMUSG00000069919	425
ENSMUSG00000096201	2
ENSMUSG00000021701	114
ENSMUSG00000052305	1112
ENSMUSG00000069917	1056
ENSMUSG00000029134	5
ENSMUSG00000081344	340
ENSMUSG00000046721	6319
ENSMUSG00000068744	82
ENSMUSG00000073940	297
ENSMUSG00000059195	22
ENSMUSG00000037855	26
ENSMUSG00000025889	11
ENSMUSG00000002083	43
ENSMUSG00000096736	7
ENSMUSG00000022385	114
ENSMUSG00000037188	0
ENSMUSG00000026831	0
ENSMUSG00000100944	104
ENSMUSG00000078794	9
ENSMUSG00000047676	1202
ENSMUSG00000027171	152
ENSMUSG00000048458	135
ENSMUSG00000101878	682
ENSMUSG00000030641	158
ENSMUSG00000040918	252
ENSMUSG00000053706	0
ENSMUSG00000094090	431
ENSMUSG00000105796	0
ENSMUSG00000082035	344
ENSMUSG00000025270	140
ENSMUSG00000051811	7
ENSMUSG00000040533	3
ENSMUSG00000096255	614
ENSMUSG00000062456	80
ENSMUSG00000044734	734
ENSMUSG00000034437	480
ENSMUSG00000072825	300
ENSMUSG00000039450	96
ENSMUSG00000061311	57
ENSMUSG00000006574	76
ENSMUSG00000042099	369
ENSMUSG00000093798	1208
ENSMUSG00000075122	135
ENSMUSG00000055632	34
ENSMUSG00000054589	11
ENSMUSG00000028893	255
ENSMUSG00000076569	1635
ENSMUSG00000046480	4
ENSMUSG00000000308	0
ENSMUSG00000078889	4
ENSMUSG00000032128	3
ENSMUSG00000040447	88
ENSMUSG00000006445	198
ENSMUSG00000082016	286
ENSMUSG00000021185	87
ENSMUSG00000091694	5
ENSMUSG00000094127	11
ENSMUSG00000043099	37
ENSMUSG00000092528	1
ENSMUSG00000041773	189
ENSMUSG00000089999	4
ENSMUSG00000081087	43
ENSMUSG00000051839	21
ENSMUSG00000094622	127
ENSMUSG00000018428	520
ENSMUSG00000073400	22
ENSMUSG00000034818	51
ENSMUSG00000045659	73
ENSMUSG00000100863	451
ENSMUSG00000026532	37
ENSMUSG00000071141	8
ENSMUSG00000050821	13
ENSMUSG00000026582	8
ENSMUSG00000022416	715
ENSMUSG00000093954	1124
ENSMUSG00000078126	42
ENSMUSG00000081603	186
ENSMUSG00000076612	2324
ENSMUSG00000035443	647
ENSMUSG00000024769	169
ENSMUSG00000108929	21
ENSMUSG00000027330	235
ENSMUSG00000057886	352
ENSMUSG00000007379	127
ENSMUSG00000076613	1864
ENSMUSG00000006587	25
ENSMUSG00000080977	51
ENSMUSG00000067719	381
ENSMUSG00000025433	17
ENSMUSG00000089762	19
