Ensembl_gene_id	null_mock_2
ENSMUSG00000075014	8812
ENSMUSG00000075015	1394
ENSMUSG00000098078	1
ENSMUSG00000041801	5
ENSMUSG00000066315	1786
ENSMUSG00000069306	2733
ENSMUSG00000061167	3280
ENSMUSG00000081406	5587
ENSMUSG00000078087	5376
ENSMUSG00000096385	244
ENSMUSG00000023067	13
ENSMUSG00000095186	794
ENSMUSG00000096519	353
ENSMUSG00000095891	410
ENSMUSG00000095547	815
ENSMUSG00000091028	114
ENSMUSG00000026700	4
ENSMUSG00000069045	3675
ENSMUSG00000081604	2514
ENSMUSG00000061983	6308
ENSMUSG00000074564	117
ENSMUSG00000101939	0
ENSMUSG00000043483	1634
ENSMUSG00000069049	2804
ENSMUSG00000009628	7
ENSMUSG00000095280	87
ENSMUSG00000069919	82405
ENSMUSG00000096201	46
ENSMUSG00000021701	164
ENSMUSG00000052305	225536
ENSMUSG00000069917	199459
ENSMUSG00000029134	6
ENSMUSG00000081344	494
ENSMUSG00000046721	2825
ENSMUSG00000068744	118
ENSMUSG00000073940	48411
ENSMUSG00000059195	30
ENSMUSG00000037855	69
ENSMUSG00000025889	1916
ENSMUSG00000002083	62
ENSMUSG00000096736	22
ENSMUSG00000022385	102
ENSMUSG00000037188	3
ENSMUSG00000026831	0
ENSMUSG00000100944	71
ENSMUSG00000078794	14
ENSMUSG00000047676	896
ENSMUSG00000027171	153
ENSMUSG00000048458	260
ENSMUSG00000101878	118
ENSMUSG00000030641	101
ENSMUSG00000040918	174
ENSMUSG00000053706	0
ENSMUSG00000094090	216
ENSMUSG00000105796	0
ENSMUSG00000082035	31
ENSMUSG00000025270	10033
ENSMUSG00000051811	25
ENSMUSG00000040533	2
ENSMUSG00000096255	1347
ENSMUSG00000062456	81
ENSMUSG00000044734	7451
ENSMUSG00000034437	0
ENSMUSG00000072825	320
ENSMUSG00000039450	324
ENSMUSG00000061311	560
ENSMUSG00000006574	2133
ENSMUSG00000042099	245
ENSMUSG00000093798	64
ENSMUSG00000075122	143
ENSMUSG00000055632	63
ENSMUSG00000054589	57
ENSMUSG00000028893	255
ENSMUSG00000076569	2040
ENSMUSG00000046480	27
ENSMUSG00000000308	0
ENSMUSG00000078889	1
ENSMUSG00000032128	10
ENSMUSG00000040447	1020
ENSMUSG00000006445	286
ENSMUSG00000082016	134
ENSMUSG00000021185	367
ENSMUSG00000091694	309
ENSMUSG00000094127	410
ENSMUSG00000043099	17
ENSMUSG00000092528	2
ENSMUSG00000041773	179
ENSMUSG00000089999	3
ENSMUSG00000081087	23
ENSMUSG00000051839	829
ENSMUSG00000094622	0
ENSMUSG00000018428	57
ENSMUSG00000073400	521
ENSMUSG00000034818	48
ENSMUSG00000045659	194
ENSMUSG00000100863	43
ENSMUSG00000026532	698
ENSMUSG00000071141	8
ENSMUSG00000050821	33
ENSMUSG00000026582	295
ENSMUSG00000022416	6193
ENSMUSG00000093954	1179
ENSMUSG00000078126	0
ENSMUSG00000081603	20
ENSMUSG00000076612	2523
ENSMUSG00000035443	162
ENSMUSG00000024769	405
ENSMUSG00000108929	420
ENSMUSG00000027330	2259
ENSMUSG00000057886	103
ENSMUSG00000007379	185
ENSMUSG00000076613	1976
ENSMUSG00000006587	13
ENSMUSG00000080977	0
ENSMUSG00000067719	123
ENSMUSG00000025433	103
ENSMUSG00000089762	21
ENSMUSG00000042349	722
ENSMUSG00000027556	100
ENSMUSG00000032374	13
ENSMUSG00000094392	99
ENSMUSG00000090639	0
ENSMUSG00000018012	35
ENSMUSG00000028970	306
ENSMUSG00000001281	3472
ENSMUSG00000043618	45
ENSMUSG00000037907	22
ENSMUSG00000076614	152
ENSMUSG00000034282	9
ENSMUSG00000020326	2916
ENSMUSG00000020593	668
ENSMUSG00000083670	0
ENSMUSG00000068566	1969
ENSMUSG00000085791	80
ENSMUSG00000094526	245
ENSMUSG00000026649	31
ENSMUSG00000060143	48
ENSMUSG00000078377	62
ENSMUSG00000103034	17
ENSMUSG00000026581	31602
ENSMUSG00000041845	4
ENSMUSG00000025507	246
ENSMUSG00000028420	239
ENSMUSG00000100405	0
ENSMUSG00000017400	812
ENSMUSG00000020788	15651
ENSMUSG00000079033	56
ENSMUSG00000067586	1030
ENSMUSG00000089739	372
ENSMUSG00000042156	54
ENSMUSG00000045092	9714
ENSMUSG00000049044	2321
ENSMUSG00000050621	0
ENSMUSG00000027297	293
ENSMUSG00000021668	662
ENSMUSG00000025912	158
ENSMUSG00000081254	45
ENSMUSG00000026443	2
ENSMUSG00000027863	5589
ENSMUSG00000022996	37
