Ensembl_gene_id	p53_IR_4
ENSMUSG00000075014	136285
ENSMUSG00000075015	25188
ENSMUSG00000098078	4
ENSMUSG00000041801	6886
ENSMUSG00000066315	4949
ENSMUSG00000069306	4
ENSMUSG00000061167	2802
ENSMUSG00000081406	9479
ENSMUSG00000078087	11797
ENSMUSG00000096385	3052
ENSMUSG00000023067	6171
ENSMUSG00000095186	9867
ENSMUSG00000096519	4300
ENSMUSG00000095891	5681
ENSMUSG00000095547	12146
ENSMUSG00000091028	1733
ENSMUSG00000026700	2755
ENSMUSG00000069045	3733
ENSMUSG00000081604	2723
ENSMUSG00000061983	25571
ENSMUSG00000074564	1077
ENSMUSG00000101939	39
ENSMUSG00000043483	2622
ENSMUSG00000069049	2618
ENSMUSG00000009628	2907
ENSMUSG00000095280	1331
ENSMUSG00000069919	180
ENSMUSG00000096201	637
ENSMUSG00000021701	10974
ENSMUSG00000052305	926
ENSMUSG00000069917	1007
ENSMUSG00000029134	1346
ENSMUSG00000081344	1941
ENSMUSG00000046721	4995
ENSMUSG00000068744	10797
ENSMUSG00000073940	233
ENSMUSG00000059195	1815
ENSMUSG00000037855	4051
ENSMUSG00000025889	0
ENSMUSG00000002083	5169
ENSMUSG00000096736	430
ENSMUSG00000022385	7208
ENSMUSG00000037188	564
ENSMUSG00000026831	640
ENSMUSG00000100944	2392
ENSMUSG00000078794	807
ENSMUSG00000047676	8965
ENSMUSG00000027171	7310
ENSMUSG00000048458	8555
ENSMUSG00000101878	449
ENSMUSG00000030641	5065
ENSMUSG00000040918	6881
ENSMUSG00000053706	861
ENSMUSG00000094090	10
ENSMUSG00000105796	2220
ENSMUSG00000082035	7182
ENSMUSG00000025270	151
ENSMUSG00000051811	874
ENSMUSG00000040533	400
ENSMUSG00000096255	26
ENSMUSG00000062456	4856
ENSMUSG00000044734	398
ENSMUSG00000034437	531
ENSMUSG00000072825	8511
ENSMUSG00000039450	7687
ENSMUSG00000061311	3
ENSMUSG00000006574	85
ENSMUSG00000042099	6135
ENSMUSG00000093798	2303
ENSMUSG00000075122	4446
ENSMUSG00000055632	1796
ENSMUSG00000054589	1120
ENSMUSG00000028893	7602
ENSMUSG00000076569	16545
ENSMUSG00000046480	672
ENSMUSG00000000308	244
ENSMUSG00000078889	72
ENSMUSG00000032128	312
ENSMUSG00000040447	58
ENSMUSG00000006445	5613
ENSMUSG00000082016	239
ENSMUSG00000021185	6369
ENSMUSG00000091694	10
ENSMUSG00000094127	87
ENSMUSG00000043099	839
ENSMUSG00000092528	138
ENSMUSG00000041773	4203
ENSMUSG00000089999	177
ENSMUSG00000081087	2303
ENSMUSG00000051839	35
ENSMUSG00000094622	0
ENSMUSG00000018428	1360
ENSMUSG00000073400	5
ENSMUSG00000034818	1460
ENSMUSG00000045659	3010
ENSMUSG00000100863	1086
ENSMUSG00000026532	30
ENSMUSG00000071141	833
ENSMUSG00000050821	601
ENSMUSG00000026582	12
ENSMUSG00000022416	761
ENSMUSG00000093954	87
ENSMUSG00000078126	828
ENSMUSG00000081603	920
ENSMUSG00000076612	1288
ENSMUSG00000035443	3653
ENSMUSG00000024769	5364
ENSMUSG00000108929	24
ENSMUSG00000027330	194
ENSMUSG00000057886	209
ENSMUSG00000007379	3078
ENSMUSG00000076613	5546
ENSMUSG00000006587	516
ENSMUSG00000080977	373
ENSMUSG00000067719	376
ENSMUSG00000025433	6
ENSMUSG00000089762	430
ENSMUSG00000042349	16186
ENSMUSG00000027556	13
ENSMUSG00000032374	489
ENSMUSG00000094392	686
ENSMUSG00000090639	160
ENSMUSG00000018012	694
ENSMUSG00000028970	7053
ENSMUSG00000001281	423
ENSMUSG00000043618	1
ENSMUSG00000037907	475
ENSMUSG00000076614	1205
ENSMUSG00000034282	102
ENSMUSG00000020326	46143
ENSMUSG00000020593	7351
ENSMUSG00000083670	189
ENSMUSG00000068566	178
ENSMUSG00000085791	1140
ENSMUSG00000094526	13
ENSMUSG00000026649	708
ENSMUSG00000060143	2482
ENSMUSG00000078377	64
ENSMUSG00000103034	1068
ENSMUSG00000026581	3536
ENSMUSG00000041845	161
ENSMUSG00000025507	4103
ENSMUSG00000028420	182
ENSMUSG00000100405	476
ENSMUSG00000017400	99
ENSMUSG00000020788	2183
ENSMUSG00000079033	1207
ENSMUSG00000067586	178
ENSMUSG00000089739	266
ENSMUSG00000042156	996
ENSMUSG00000045092	1301
ENSMUSG00000049044	293
ENSMUSG00000050621	0
ENSMUSG00000027297	37
ENSMUSG00000021668	8373
ENSMUSG00000025912	2813
ENSMUSG00000081254	189
ENSMUSG00000026443	38
ENSMUSG00000027863	653
ENSMUSG00000022996	256
ENSMUSG00000081051	7527
ENSMUSG00000048188	84
ENSMUSG00000083287	138
ENSMUSG00000036995	371
ENSMUSG00000053279	6
ENSMUSG00000096577	96
ENSMUSG00000070572	171
ENSMUSG00000101167	831
ENSMUSG00000038623	667
ENSMUSG00000027663	6822
ENSMUSG00000079339	122
ENSMUSG00000060096	267
ENSMUSG00000024778	2117
ENSMUSG00000004655	16
ENSMUSG00000004098	11
ENSMUSG00000031785	365
ENSMUSG00000095079	11494
ENSMUSG00000006154	821
ENSMUSG00000020990	20
ENSMUSG00000028737	7100
ENSMUSG00000003809	7672
ENSMUSG00000037725	2068
ENSMUSG00000082127	486
ENSMUSG00000055148	596
ENSMUSG00000032946	1216
ENSMUSG00000006360	434
ENSMUSG00000002007	818
ENSMUSG00000032496	169
ENSMUSG00000082099	408
ENSMUSG00000083365	300
ENSMUSG00000083558	300
ENSMUSG00000022899	1195
ENSMUSG00000040715	0
ENSMUSG00000044199	581
ENSMUSG00000106350	44
ENSMUSG00000062762	11500
ENSMUSG00000048644	260
ENSMUSG00000096472	94
ENSMUSG00000109489	333
ENSMUSG00000054612	753
ENSMUSG00000046818	352
ENSMUSG00000105645	92
ENSMUSG00000024521	4531
ENSMUSG00000020396	454
ENSMUSG00000020142	111
ENSMUSG00000031779	559
ENSMUSG00000032334	11
ENSMUSG00000013629	21673
ENSMUSG00000031258	1084
ENSMUSG00000000903	195
ENSMUSG00000029322	1077
ENSMUSG00000058626	48
ENSMUSG00000025092	14
ENSMUSG00000034416	106
ENSMUSG00000021665	585
ENSMUSG00000043468	38
ENSMUSG00000018340	1084
ENSMUSG00000082381	126
ENSMUSG00000034457	57
ENSMUSG00000022098	438
ENSMUSG00000090381	346
ENSMUSG00000078429	614
ENSMUSG00000098387	85
ENSMUSG00000096718	216
ENSMUSG00000020086	258
ENSMUSG00000031969	2149
ENSMUSG00000072082	2667
ENSMUSG00000041538	5663
ENSMUSG00000030000	11
ENSMUSG00000039395	2106
ENSMUSG00000030609	16013
ENSMUSG00000002799	494
ENSMUSG00000021913	153
ENSMUSG00000076670	33
ENSMUSG00000083728	1126
ENSMUSG00000032484	142
ENSMUSG00000036678	10060
ENSMUSG00000024900	1065
ENSMUSG00000032908	155
ENSMUSG00000030427	51
ENSMUSG00000099241	339
ENSMUSG00000037552	486
ENSMUSG00000042821	112
ENSMUSG00000030084	8206
ENSMUSG00000039787	932
ENSMUSG00000022748	330
ENSMUSG00000025366	1787
ENSMUSG00000090877	387
ENSMUSG00000101111	6233
ENSMUSG00000096833	379
ENSMUSG00000038011	72
ENSMUSG00000033854	235
ENSMUSG00000091971	189
ENSMUSG00000067869	242
ENSMUSG00000026822	63
ENSMUSG00000028051	400
ENSMUSG00000034164	159
ENSMUSG00000026817	128
ENSMUSG00000029763	39493
ENSMUSG00000079359	61
ENSMUSG00000056071	550
ENSMUSG00000032360	81
ENSMUSG00000031925	322
ENSMUSG00000025026	3241
ENSMUSG00000094708	233
ENSMUSG00000095937	233
ENSMUSG00000054385	21
ENSMUSG00000026879	424
ENSMUSG00000029866	10
ENSMUSG00000028211	48072
ENSMUSG00000025867	122
ENSMUSG00000038871	568
ENSMUSG00000072812	261
ENSMUSG00000044350	4730
ENSMUSG00000020641	236
ENSMUSG00000021703	574
ENSMUSG00000102918	399
ENSMUSG00000036902	371
ENSMUSG00000025780	110
ENSMUSG00000038670	855
ENSMUSG00000074272	556
ENSMUSG00000027347	1336
ENSMUSG00000033644	182
ENSMUSG00000032135	724
ENSMUSG00000066607	111
ENSMUSG00000031562	336
ENSMUSG00000000884	1076
ENSMUSG00000004842	186
ENSMUSG00000052331	2771
ENSMUSG00000021614	519
ENSMUSG00000076441	3890
ENSMUSG00000083165	22
ENSMUSG00000016526	392
ENSMUSG00000046169	390
ENSMUSG00000020034	751
ENSMUSG00000079575	94
ENSMUSG00000059647	50
ENSMUSG00000099809	38
ENSMUSG00000092340	44
ENSMUSG00000021624	2549
ENSMUSG00000057135	80
ENSMUSG00000025352	463
ENSMUSG00000106037	4578
ENSMUSG00000074419	89
ENSMUSG00000079553	992
ENSMUSG00000032818	6
ENSMUSG00000055093	3936
ENSMUSG00000034903	389
ENSMUSG00000030737	231
ENSMUSG00000041936	2534
ENSMUSG00000018750	1061
ENSMUSG00000052221	94
ENSMUSG00000036006	3904
ENSMUSG00000038042	2604
ENSMUSG00000046006	122
ENSMUSG00000020642	1431
ENSMUSG00000031453	3556
ENSMUSG00000063543	158
ENSMUSG00000037683	15
ENSMUSG00000098934	733
ENSMUSG00000019979	15180
ENSMUSG00000006576	21
ENSMUSG00000062554	214
ENSMUSG00000068397	267
ENSMUSG00000084383	267
ENSMUSG00000028008	12
ENSMUSG00000082604	92
ENSMUSG00000029385	650
ENSMUSG00000032698	879
ENSMUSG00000034620	3919
ENSMUSG00000056054	276
ENSMUSG00000081999	169
ENSMUSG00000000552	1991
ENSMUSG00000022686	2168
ENSMUSG00000080875	164
ENSMUSG00000082329	165
ENSMUSG00000073678	2390
ENSMUSG00000012017	173
ENSMUSG00000003873	10942
ENSMUSG00000005233	1350
ENSMUSG00000086965	559
ENSMUSG00000057191	885
ENSMUSG00000098021	38
ENSMUSG00000026167	654
ENSMUSG00000006800	1515
ENSMUSG00000021048	11170
ENSMUSG00000037972	4388
ENSMUSG00000021411	794
ENSMUSG00000066443	7198
ENSMUSG00000011008	326
ENSMUSG00000046341	102
ENSMUSG00000082691	197
ENSMUSG00000018909	702
ENSMUSG00000022353	1000
ENSMUSG00000059479	1028
ENSMUSG00000101059	37
ENSMUSG00000084838	867
ENSMUSG00000044309	319
ENSMUSG00000020108	6044
ENSMUSG00000023963	71
ENSMUSG00000036026	4052
ENSMUSG00000003484	872
ENSMUSG00000050243	37
ENSMUSG00000030407	2582
ENSMUSG00000051590	206
ENSMUSG00000063660	77
ENSMUSG00000108852	58
ENSMUSG00000094087	210
ENSMUSG00000041247	29
ENSMUSG00000078173	39
ENSMUSG00000044468	786
ENSMUSG00000028078	559
ENSMUSG00000028362	304
ENSMUSG00000021222	4044
ENSMUSG00000005107	1793
ENSMUSG00000068457	2398
ENSMUSG00000047945	7344
ENSMUSG00000026728	2249
ENSMUSG00000083672	10
ENSMUSG00000082432	73
ENSMUSG00000020898	7750
ENSMUSG00000019872	255
ENSMUSG00000079362	11
ENSMUSG00000033722	543
ENSMUSG00000037822	2613
ENSMUSG00000058624	193
ENSMUSG00000001986	743
ENSMUSG00000082662	185
ENSMUSG00000052563	39
ENSMUSG00000055748	27
ENSMUSG00000029093	76
ENSMUSG00000049303	328
ENSMUSG00000020638	245
ENSMUSG00000073125	264
ENSMUSG00000071669	1918
ENSMUSG00000092329	984
ENSMUSG00000021384	402
ENSMUSG00000020089	1397
ENSMUSG00000027452	1033
ENSMUSG00000074342	247
ENSMUSG00000049233	210
ENSMUSG00000074846	109
ENSMUSG00000007908	514
ENSMUSG00000101964	442
ENSMUSG00000026313	13202
ENSMUSG00000006589	4581
ENSMUSG00000036894	4454
ENSMUSG00000087635	156
ENSMUSG00000024399	3747
ENSMUSG00000083827	31
ENSMUSG00000037235	2429
ENSMUSG00000004110	2701
ENSMUSG00000020712	217
ENSMUSG00000058006	64346
ENSMUSG00000055707	3749
ENSMUSG00000038146	207
ENSMUSG00000039031	174
ENSMUSG00000076562	171
ENSMUSG00000058447	21
ENSMUSG00000007783	66
ENSMUSG00000096326	532
ENSMUSG00000051910	17
ENSMUSG00000045455	360
ENSMUSG00000076435	678
ENSMUSG00000038357	48
ENSMUSG00000003420	378
ENSMUSG00000004356	17868
ENSMUSG00000051378	713
ENSMUSG00000069622	32
ENSMUSG00000081926	151
ENSMUSG00000019823	1387
ENSMUSG00000099366	156
ENSMUSG00000054191	20
ENSMUSG00000028717	12
ENSMUSG00000083626	21
ENSMUSG00000091712	85
ENSMUSG00000020447	27
ENSMUSG00000028655	34
ENSMUSG00000045165	781
ENSMUSG00000027562	2202
ENSMUSG00000099927	4598
ENSMUSG00000036882	32
ENSMUSG00000089698	91
ENSMUSG00000040270	3759
ENSMUSG00000034795	506
ENSMUSG00000084836	39
ENSMUSG00000025403	5214
ENSMUSG00000029370	26
ENSMUSG00000041762	342
ENSMUSG00000034248	1654
ENSMUSG00000026390	2340
ENSMUSG00000034041	998
ENSMUSG00000079192	173
ENSMUSG00000033307	5234
ENSMUSG00000009739	407
ENSMUSG00000100514	18
ENSMUSG00000025795	830
ENSMUSG00000098692	600
ENSMUSG00000059791	365
ENSMUSG00000030790	438
ENSMUSG00000043873	125
ENSMUSG00000056602	1205
ENSMUSG00000053137	624
ENSMUSG00000031389	3944
ENSMUSG00000082101	5
ENSMUSG00000004929	890
ENSMUSG00000041736	223
ENSMUSG00000082570	14
ENSMUSG00000038065	154
ENSMUSG00000020669	275
ENSMUSG00000052684	3637
ENSMUSG00000007872	384
ENSMUSG00000002068	195
ENSMUSG00000020184	16388
ENSMUSG00000032265	485
ENSMUSG00000061356	42
ENSMUSG00000094840	16
ENSMUSG00000084261	58
ENSMUSG00000096544	15520
ENSMUSG00000022817	255
ENSMUSG00000011179	11532
ENSMUSG00000025364	16162
ENSMUSG00000018983	673
ENSMUSG00000042462	776
ENSMUSG00000031112	614
ENSMUSG00000034361	427
ENSMUSG00000064208	9
ENSMUSG00000027639	4916
ENSMUSG00000083061	0
ENSMUSG00000022475	848
ENSMUSG00000038351	2298
ENSMUSG00000038560	262
ENSMUSG00000094075	515
ENSMUSG00000069302	70
ENSMUSG00000040747	5751
ENSMUSG00000052544	89
ENSMUSG00000054720	428
ENSMUSG00000082653	71
ENSMUSG00000024588	388
ENSMUSG00000033544	731
ENSMUSG00000002944	1775
ENSMUSG00000010142	2138
ENSMUSG00000101188	4744
ENSMUSG00000031659	3538
ENSMUSG00000061742	172
ENSMUSG00000096144	13
ENSMUSG00000035711	2061
ENSMUSG00000069516	1333
ENSMUSG00000043102	42
ENSMUSG00000031802	187
ENSMUSG00000078636	1240
ENSMUSG00000038295	96
ENSMUSG00000054619	52
ENSMUSG00000049892	159
ENSMUSG00000001348	940
ENSMUSG00000058019	256
ENSMUSG00000026853	271
ENSMUSG00000042121	873
ENSMUSG00000044534	173
ENSMUSG00000044083	140
ENSMUSG00000081788	98
ENSMUSG00000022964	329
ENSMUSG00000035960	3138
ENSMUSG00000034055	376
ENSMUSG00000049744	2122
ENSMUSG00000098650	488
ENSMUSG00000053931	1213
ENSMUSG00000039908	170
ENSMUSG00000034401	197
ENSMUSG00000090223	13
ENSMUSG00000021983	83
ENSMUSG00000033036	31
ENSMUSG00000032776	676
ENSMUSG00000004568	3809
ENSMUSG00000048087	1930
ENSMUSG00000025875	13
ENSMUSG00000026558	2037
ENSMUSG00000048078	145
ENSMUSG00000074575	90
ENSMUSG00000048807	183
ENSMUSG00000044456	1474
ENSMUSG00000051314	129
ENSMUSG00000024056	126
ENSMUSG00000041642	4236
ENSMUSG00000030577	10982
ENSMUSG00000028217	144
ENSMUSG00000024659	75
ENSMUSG00000022180	204
ENSMUSG00000019899	21
ENSMUSG00000092560	38
ENSMUSG00000044770	1028
ENSMUSG00000054293	382
ENSMUSG00000022044	7
ENSMUSG00000059708	172
ENSMUSG00000059422	227
ENSMUSG00000085917	547
ENSMUSG00000037138	2678
ENSMUSG00000081441	0
ENSMUSG00000055612	929
ENSMUSG00000032902	504
ENSMUSG00000028914	380
ENSMUSG00000081569	5
ENSMUSG00000027219	2714
ENSMUSG00000013846	837
ENSMUSG00000022483	59
ENSMUSG00000033327	116
ENSMUSG00000035273	329
ENSMUSG00000028766	546
ENSMUSG00000109510	68
ENSMUSG00000062727	348
ENSMUSG00000054641	0
ENSMUSG00000024013	2446
ENSMUSG00000030256	3608
ENSMUSG00000028076	785
ENSMUSG00000036781	4348
ENSMUSG00000034792	2074
ENSMUSG00000022094	3211
ENSMUSG00000025980	7234
ENSMUSG00000035215	386
ENSMUSG00000032009	2907
ENSMUSG00000031613	457
ENSMUSG00000029106	2710
ENSMUSG00000021270	12212
ENSMUSG00000022428	953
ENSMUSG00000091228	3782
ENSMUSG00000083121	85
ENSMUSG00000073802	128
ENSMUSG00000074417	80
ENSMUSG00000025104	244
ENSMUSG00000019312	84
ENSMUSG00000000708	389
ENSMUSG00000037606	394
ENSMUSG00000061758	4082
ENSMUSG00000050600	2588
ENSMUSG00000029270	505
ENSMUSG00000094102	85
ENSMUSG00000094439	95
ENSMUSG00000101932	67
ENSMUSG00000032889	0
ENSMUSG00000031390	200
ENSMUSG00000021123	418
ENSMUSG00000021867	71
ENSMUSG00000072676	71
ENSMUSG00000005447	357
ENSMUSG00000014599	1908
ENSMUSG00000005732	4437
ENSMUSG00000100862	15312
ENSMUSG00000034245	75
ENSMUSG00000008843	8
ENSMUSG00000020183	843
ENSMUSG00000027858	192
ENSMUSG00000053801	1684
ENSMUSG00000035202	2721
ENSMUSG00000031146	331
ENSMUSG00000095514	41
ENSMUSG00000015968	154
ENSMUSG00000060791	875
ENSMUSG00000029463	1356
ENSMUSG00000003309	18
ENSMUSG00000040247	3009
ENSMUSG00000038175	1403
ENSMUSG00000022586	52
ENSMUSG00000020649	2324
ENSMUSG00000056144	3207
