Ensembl_gene_id	p53_mock_2
ENSMUSG00000075014	1562
ENSMUSG00000075015	281
ENSMUSG00000098078	3430
ENSMUSG00000041801	20
ENSMUSG00000066315	260
ENSMUSG00000069306	7
ENSMUSG00000061167	2231
ENSMUSG00000081406	4604
ENSMUSG00000078087	2031
ENSMUSG00000096385	68
ENSMUSG00000023067	37
ENSMUSG00000095186	334
ENSMUSG00000096519	109
ENSMUSG00000095891	125
ENSMUSG00000095547	301
ENSMUSG00000091028	22
ENSMUSG00000026700	17
ENSMUSG00000069045	65
ENSMUSG00000081604	2468
ENSMUSG00000061983	5917
ENSMUSG00000074564	11
ENSMUSG00000101939	2
ENSMUSG00000043483	1177
ENSMUSG00000069049	43
ENSMUSG00000009628	17
ENSMUSG00000095280	42
ENSMUSG00000069919	1506
ENSMUSG00000096201	22
ENSMUSG00000021701	131
ENSMUSG00000052305	3574
ENSMUSG00000069917	3038
ENSMUSG00000029134	10
ENSMUSG00000081344	0
ENSMUSG00000046721	3197
ENSMUSG00000068744	155
ENSMUSG00000073940	1045
ENSMUSG00000059195	17
ENSMUSG00000037855	73
ENSMUSG00000025889	0
ENSMUSG00000002083	117
ENSMUSG00000096736	23
ENSMUSG00000022385	111
ENSMUSG00000037188	1
ENSMUSG00000026831	1
ENSMUSG00000100944	114
ENSMUSG00000078794	8
ENSMUSG00000047676	521
ENSMUSG00000027171	264
ENSMUSG00000048458	252
ENSMUSG00000101878	47
ENSMUSG00000030641	126
ENSMUSG00000040918	145
ENSMUSG00000053706	0
ENSMUSG00000094090	5
ENSMUSG00000105796	0
ENSMUSG00000082035	115
ENSMUSG00000025270	450
ENSMUSG00000051811	14
ENSMUSG00000040533	2
ENSMUSG00000096255	126
ENSMUSG00000062456	22
ENSMUSG00000044734	5586
ENSMUSG00000034437	18
ENSMUSG00000072825	398
ENSMUSG00000039450	296
ENSMUSG00000061311	249
ENSMUSG00000006574	830
ENSMUSG00000042099	162
ENSMUSG00000093798	148
ENSMUSG00000075122	285
ENSMUSG00000055632	74
ENSMUSG00000054589	46
ENSMUSG00000028893	419
ENSMUSG00000076569	22477
ENSMUSG00000046480	20
ENSMUSG00000000308	0
ENSMUSG00000078889	2
ENSMUSG00000032128	1
ENSMUSG00000040447	981
ENSMUSG00000006445	268
ENSMUSG00000082016	77
ENSMUSG00000021185	722
ENSMUSG00000091694	217
