Ensembl_gene_id,null_IR_2
ENSMUSG00000075014,29994
ENSMUSG00000075015,5048
ENSMUSG00000098078,3
ENSMUSG00000041801,2
ENSMUSG00000066315,0
ENSMUSG00000069306,1797
ENSMUSG00000061167,0
ENSMUSG00000081406,610
ENSMUSG00000078087,5266
ENSMUSG00000096385,522
ENSMUSG00000023067,21
ENSMUSG00000095186,2384
ENSMUSG00000096519,1266
ENSMUSG00000095891,1213
ENSMUSG00000095547,2497
ENSMUSG00000091028,444
ENSMUSG00000026700,27
ENSMUSG00000069045,6420
ENSMUSG00000081604,854
ENSMUSG00000061983,39051
ENSMUSG00000074564,324
ENSMUSG00000101939,803
ENSMUSG00000043483,100
ENSMUSG00000069049,3627
ENSMUSG00000009628,128
ENSMUSG00000095280,259
ENSMUSG00000069919,31839
ENSMUSG00000096201,120
ENSMUSG00000021701,58
ENSMUSG00000052305,71138
ENSMUSG00000069917,67001
ENSMUSG00000029134,11
ENSMUSG00000081344,0
ENSMUSG00000046721,2687
ENSMUSG00000068744,111
ENSMUSG00000073940,15647
ENSMUSG00000059195,173
ENSMUSG00000037855,46
ENSMUSG00000025889,809
ENSMUSG00000002083,93
ENSMUSG00000096736,98
ENSMUSG00000022385,102
ENSMUSG00000037188,1
ENSMUSG00000026831,0
ENSMUSG00000100944,4
ENSMUSG00000078794,21
ENSMUSG00000047676,106
ENSMUSG00000027171,194
ENSMUSG00000048458,252
ENSMUSG00000101878,466
ENSMUSG00000030641,197
ENSMUSG00000040918,254
ENSMUSG00000053706,0
ENSMUSG00000094090,550
ENSMUSG00000105796,0
ENSMUSG00000082035,224
ENSMUSG00000025270,3658
ENSMUSG00000051811,23
ENSMUSG00000040533,12
ENSMUSG00000096255,1046
ENSMUSG00000062456,141
ENSMUSG00000044734,1031
ENSMUSG00000034437,451
ENSMUSG00000072825,320
ENSMUSG00000039450,222
ENSMUSG00000061311,160
ENSMUSG00000006574,982
ENSMUSG00000042099,616
ENSMUSG00000093798,197
ENSMUSG00000075122,215
ENSMUSG00000055632,54
ENSMUSG00000054589,24
ENSMUSG00000028893,262
ENSMUSG00000076569,2558
ENSMUSG00000046480,12
ENSMUSG00000000308,1
ENSMUSG00000078889,372
ENSMUSG00000032128,2
ENSMUSG00000040447,152
ENSMUSG00000006445,321
ENSMUSG00000082016,0
ENSMUSG00000021185,177
ENSMUSG00000091694,163
ENSMUSG00000094127,56
ENSMUSG00000043099,41
ENSMUSG00000092528,2
ENSMUSG00000041773,205
ENSMUSG00000089999,55
ENSMUSG00000081087,39
ENSMUSG00000051839,400
ENSMUSG00000094622,1
ENSMUSG00000018428,678
ENSMUSG00000073400,288
ENSMUSG00000034818,47
ENSMUSG00000045659,106
ENSMUSG00000100863,701
ENSMUSG00000026532,379
ENSMUSG00000071141,8
ENSMUSG00000050821,25
ENSMUSG00000026582,26
ENSMUSG00000022416,899
ENSMUSG00000093954,1427
ENSMUSG00000078126,0
ENSMUSG00000081603,42
ENSMUSG00000076612,1771
ENSMUSG00000035443,654
ENSMUSG00000024769,277
ENSMUSG00000108929,58
ENSMUSG00000027330,356
ENSMUSG00000057886,316
ENSMUSG00000007379,187
ENSMUSG00000076613,1362
ENSMUSG00000006587,31
ENSMUSG00000080977,15
ENSMUSG00000067719,0
ENSMUSG00000025433,26
ENSMUSG00000089762,25
ENSMUSG00000042349,1222
ENSMUSG00000027556,44
ENSMUSG00000032374,48
ENSMUSG00000094392,10
ENSMUSG00000090639,411
ENSMUSG00000018012,32
ENSMUSG00000028970,1126
ENSMUSG00000001281,864
ENSMUSG00000043618,162
ENSMUSG00000037907,140
ENSMUSG00000076614,243
ENSMUSG00000034282,151
ENSMUSG00000020326,3043
ENSMUSG00000020593,391
ENSMUSG00000083670,93
ENSMUSG00000068566,416
ENSMUSG00000085791,33
ENSMUSG00000094526,221
ENSMUSG00000026649,31
ENSMUSG00000060143,122
ENSMUSG00000078377,0
ENSMUSG00000103034,18
ENSMUSG00000026581,7028
ENSMUSG00000041845,1
ENSMUSG00000025507,538
ENSMUSG00000028420,257
ENSMUSG00000100405,0
ENSMUSG00000017400,70
ENSMUSG00000020788,3460
ENSMUSG00000079033,205
ENSMUSG00000067586,921
ENSMUSG00000089739,52
ENSMUSG00000042156,87
ENSMUSG00000045092,5912
ENSMUSG00000049044,384
ENSMUSG00000050621,14
ENSMUSG00000027297,42
ENSMUSG00000021668,739
ENSMUSG00000025912,198
ENSMUSG00000081254,0
ENSMUSG00000026443,61
ENSMUSG00000027863,1790
ENSMUSG00000022996,483
ENSMUSG00000081051,354
ENSMUSG00000048188,73
ENSMUSG00000083287,512
ENSMUSG00000036995,37
ENSMUSG00000053279,103
ENSMUSG00000096577,152
ENSMUSG00000070572,0
ENSMUSG00000101167,131
ENSMUSG00000038623,1226
ENSMUSG00000027663,514
ENSMUSG00000079339,493
ENSMUSG00000060096,299
ENSMUSG00000024778,361
ENSMUSG00000004655,48
ENSMUSG00000004098,41
ENSMUSG00000031785,1249
ENSMUSG00000095079,1675
ENSMUSG00000006154,397
ENSMUSG00000020990,62
