Ensembl_gene_id,null_mock_1
ENSMUSG00000075014,12447
ENSMUSG00000075015,1986
ENSMUSG00000098078,0
ENSMUSG00000041801,12
ENSMUSG00000066315,0
ENSMUSG00000069306,3661
ENSMUSG00000061167,3942
ENSMUSG00000081406,5
ENSMUSG00000078087,1756
ENSMUSG00000096385,302
ENSMUSG00000023067,20
ENSMUSG00000095186,1132
ENSMUSG00000096519,430
ENSMUSG00000095891,558
ENSMUSG00000095547,1203
ENSMUSG00000091028,181
ENSMUSG00000026700,3
ENSMUSG00000069045,5600
ENSMUSG00000081604,1998
ENSMUSG00000061983,1
ENSMUSG00000074564,169
ENSMUSG00000101939,16
ENSMUSG00000043483,1600
ENSMUSG00000069049,3993
ENSMUSG00000009628,14
ENSMUSG00000095280,158
ENSMUSG00000069919,1422
ENSMUSG00000096201,46
ENSMUSG00000021701,147
ENSMUSG00000052305,4646
ENSMUSG00000069917,3761
ENSMUSG00000029134,9
ENSMUSG00000081344,0
ENSMUSG00000046721,2540
ENSMUSG00000068744,151
ENSMUSG00000073940,1042
ENSMUSG00000059195,22
ENSMUSG00000037855,45
ENSMUSG00000025889,54
ENSMUSG00000002083,72
ENSMUSG00000096736,63
ENSMUSG00000022385,94
ENSMUSG00000037188,0
ENSMUSG00000026831,0
ENSMUSG00000100944,33
ENSMUSG00000078794,11
ENSMUSG00000047676,638
ENSMUSG00000027171,159
ENSMUSG00000048458,225
ENSMUSG00000101878,25
ENSMUSG00000030641,126
ENSMUSG00000040918,161
ENSMUSG00000053706,0
ENSMUSG00000094090,155
ENSMUSG00000105796,0
ENSMUSG00000082035,182
ENSMUSG00000025270,399
ENSMUSG00000051811,9
ENSMUSG00000040533,1
ENSMUSG00000096255,1228
ENSMUSG00000062456,68
ENSMUSG00000044734,7439
ENSMUSG00000034437,67
ENSMUSG00000072825,297
ENSMUSG00000039450,312
ENSMUSG00000061311,236
ENSMUSG00000006574,42
ENSMUSG00000042099,195
ENSMUSG00000093798,114
ENSMUSG00000075122,183
ENSMUSG00000055632,60
ENSMUSG00000054589,46
ENSMUSG00000028893,323
ENSMUSG00000076569,1433
ENSMUSG00000046480,23
ENSMUSG00000000308,0
ENSMUSG00000078889,0
ENSMUSG00000032128,3
ENSMUSG00000040447,1134
ENSMUSG00000006445,329
ENSMUSG00000082016,158
ENSMUSG00000021185,479
ENSMUSG00000091694,8
ENSMUSG00000094127,657
ENSMUSG00000043099,29
ENSMUSG00000092528,3
ENSMUSG00000041773,215
ENSMUSG00000089999,10
ENSMUSG00000081087,20
ENSMUSG00000051839,23
ENSMUSG00000094622,3
ENSMUSG00000018428,82
ENSMUSG00000073400,21
ENSMUSG00000034818,88
ENSMUSG00000045659,234
ENSMUSG00000100863,34
ENSMUSG00000026532,26
ENSMUSG00000071141,6
ENSMUSG00000050821,38
ENSMUSG00000026582,338
ENSMUSG00000022416,7231
ENSMUSG00000093954,2288
ENSMUSG00000078126,21
ENSMUSG00000081603,4
ENSMUSG00000076612,2400
ENSMUSG00000035443,147
ENSMUSG00000024769,405
ENSMUSG00000108929,388
ENSMUSG00000027330,2442
ENSMUSG00000057886,25
ENSMUSG00000007379,244
ENSMUSG00000076613,2294
ENSMUSG00000006587,27
ENSMUSG00000080977,0
ENSMUSG00000067719,59
ENSMUSG00000025433,189
ENSMUSG00000089762,15
ENSMUSG00000042349,1311
ENSMUSG00000027556,24
ENSMUSG00000032374,36
ENSMUSG00000094392,90
ENSMUSG00000090639,21
ENSMUSG00000018012,49
ENSMUSG00000028970,384
ENSMUSG00000001281,4763
ENSMUSG00000043618,53
ENSMUSG00000037907,50
ENSMUSG00000076614,165
ENSMUSG00000034282,6
ENSMUSG00000020326,3235
ENSMUSG00000020593,787
ENSMUSG00000083670,5
ENSMUSG00000068566,2064
ENSMUSG00000085791,18
ENSMUSG00000094526,694
ENSMUSG00000026649,37
ENSMUSG00000060143,142
ENSMUSG00000078377,0
ENSMUSG00000103034,8
ENSMUSG00000026581,32468
ENSMUSG00000041845,4
ENSMUSG00000025507,291
ENSMUSG00000028420,373
ENSMUSG00000100405,0
ENSMUSG00000017400,865
ENSMUSG00000020788,16172
ENSMUSG00000079033,62
ENSMUSG00000067586,1469
ENSMUSG00000089739,359
ENSMUSG00000042156,131
ENSMUSG00000045092,10402
ENSMUSG00000049044,2716
ENSMUSG00000050621,88
ENSMUSG00000027297,325
ENSMUSG00000021668,767
ENSMUSG00000025912,261
ENSMUSG00000081254,49
ENSMUSG00000026443,1
ENSMUSG00000027863,5903
ENSMUSG00000022996,40
ENSMUSG00000081051,2299
ENSMUSG00000048188,0
ENSMUSG00000083287,21
ENSMUSG00000036995,23
ENSMUSG00000053279,12
ENSMUSG00000096577,149
ENSMUSG00000070572,106
ENSMUSG00000101167,75
ENSMUSG00000038623,5557
ENSMUSG00000027663,645
ENSMUSG00000079339,1232
ENSMUSG00000060096,33
ENSMUSG00000024778,168
ENSMUSG00000004655,25
ENSMUSG00000004098,210
ENSMUSG00000031785,66
ENSMUSG00000095079,1501
ENSMUSG00000006154,2582
ENSMUSG00000020990,259
ENSMUSG00000028737,656
ENSMUSG00000003809,642
ENSMUSG00000037725,153
ENSMUSG00000082127,11
ENSMUSG00000055148,4328
ENSMUSG00000032946,11033
ENSMUSG00000006360,3305
ENSMUSG00000002007,4510
ENSMUSG00000032496,28
ENSMUSG00000082099,3
ENSMUSG00000083365,646
ENSMUSG00000083558,646
ENSMUSG00000022899,2146
ENSMUSG00000040715,97
ENSMUSG00000044199,3865
ENSMUSG00000106350,14
ENSMUSG00000062762,971
ENSMUSG00000048644,13
ENSMUSG00000096472,683
ENSMUSG00000109489,31
ENSMUSG00000054612,76
ENSMUSG00000046818,42
ENSMUSG00000105645,0
ENSMUSG00000024521,392
ENSMUSG00000020396,58
ENSMUSG00000020142,30
ENSMUSG00000031779,31
ENSMUSG00000032334,134
ENSMUSG00000013629,2126
ENSMUSG00000031258,1146
ENSMUSG00000000903,1207
ENSMUSG00000029322,7594
ENSMUSG00000058626,11
ENSMUSG00000025092,125
ENSMUSG00000034416,5
ENSMUSG00000021665,4264
ENSMUSG00000043468,9
ENSMUSG00000018340,8222
ENSMUSG00000082381,0
ENSMUSG00000034457,0
ENSMUSG00000022098,71
ENSMUSG00000090381,111
ENSMUSG00000078429,3685
ENSMUSG00000098387,0
ENSMUSG00000096718,349
ENSMUSG00000020086,23
ENSMUSG00000031969,217
ENSMUSG00000072082,259
ENSMUSG00000041538,31792
ENSMUSG00000030000,3
ENSMUSG00000039395,269
ENSMUSG00000030609,1506
ENSMUSG00000002799,42
ENSMUSG00000021913,7
ENSMUSG00000076670,73
ENSMUSG00000083728,196
ENSMUSG00000032484,35
ENSMUSG00000036678,978
ENSMUSG00000024900,4137
ENSMUSG00000032908,1188
ENSMUSG00000030427,487
ENSMUSG00000099241,2757
ENSMUSG00000037552,3665
ENSMUSG00000042821,4
ENSMUSG00000030084,1039
ENSMUSG00000039787,88
ENSMUSG00000022748,82
ENSMUSG00000025366,10474
ENSMUSG00000090877,99
ENSMUSG00000101111,10482
ENSMUSG00000096833,672
ENSMUSG00000038011,9
ENSMUSG00000033854,36
ENSMUSG00000091971,8
ENSMUSG00000067869,0
ENSMUSG00000026822,9
ENSMUSG00000028051,47
ENSMUSG00000034164,1017
ENSMUSG00000026817,7
ENSMUSG00000029763,4936
ENSMUSG00000079359,47
ENSMUSG00000056071,207
ENSMUSG00000032360,465
ENSMUSG00000031925,2352
ENSMUSG00000025026,15737
ENSMUSG00000094708,0
ENSMUSG00000095937,0
ENSMUSG00000054385,193
ENSMUSG00000026879,2547
ENSMUSG00000029866,5
ENSMUSG00000028211,9882
ENSMUSG00000025867,749
ENSMUSG00000038871,534
ENSMUSG00000072812,46
ENSMUSG00000044350,469
ENSMUSG00000020641,430
ENSMUSG00000021703,3343
ENSMUSG00000102918,60
ENSMUSG00000036902,87
ENSMUSG00000025780,867
ENSMUSG00000038670,276
ENSMUSG00000074272,3650
ENSMUSG00000027347,8218
ENSMUSG00000033644,29
ENSMUSG00000032135,80
ENSMUSG00000066607,10
ENSMUSG00000031562,129
ENSMUSG00000000884,141
ENSMUSG00000004842,172
ENSMUSG00000052331,16417
ENSMUSG00000021614,70
ENSMUSG00000076441,390
ENSMUSG00000083165,219
ENSMUSG00000016526,39
ENSMUSG00000046169,2633
ENSMUSG00000020034,4096
ENSMUSG00000079575,3
ENSMUSG00000059647,28
ENSMUSG00000099809,61
ENSMUSG00000092340,168
ENSMUSG00000021624,13055
ENSMUSG00000057135,562
ENSMUSG00000025352,2030
ENSMUSG00000106037,2972
ENSMUSG00000074419,446
ENSMUSG00000079553,140
ENSMUSG00000032818,109
ENSMUSG00000055093,1844
