Ensembl_gene_id,p53_IR_1
ENSMUSG00000075014,588450
ENSMUSG00000075015,96833
ENSMUSG00000098078,1536
ENSMUSG00000041801,3452
ENSMUSG00000066315,0
ENSMUSG00000069306,3
ENSMUSG00000061167,11
ENSMUSG00000081406,7244
ENSMUSG00000078087,3251
ENSMUSG00000096385,11152
ENSMUSG00000023067,3327
ENSMUSG00000095186,44522
ENSMUSG00000096519,26636
ENSMUSG00000095891,22721
ENSMUSG00000095547,49452
ENSMUSG00000091028,7468
ENSMUSG00000026700,1536
ENSMUSG00000069045,66
ENSMUSG00000081604,0
ENSMUSG00000061983,32164
ENSMUSG00000074564,4975
ENSMUSG00000101939,3960
ENSMUSG00000043483,30
ENSMUSG00000069049,35
ENSMUSG00000009628,1419
ENSMUSG00000095280,5995
ENSMUSG00000069919,497
ENSMUSG00000096201,2659
ENSMUSG00000021701,6520
ENSMUSG00000052305,1132
ENSMUSG00000069917,962
ENSMUSG00000029134,781
ENSMUSG00000081344,0
ENSMUSG00000046721,172
ENSMUSG00000068744,5466
ENSMUSG00000073940,278
ENSMUSG00000059195,2567
ENSMUSG00000037855,2302
ENSMUSG00000025889,0
ENSMUSG00000002083,3678
ENSMUSG00000096736,1759
ENSMUSG00000022385,4113
ENSMUSG00000037188,452
ENSMUSG00000026831,271
ENSMUSG00000100944,0
ENSMUSG00000078794,498
ENSMUSG00000047676,106
ENSMUSG00000027171,4799
ENSMUSG00000048458,5400
ENSMUSG00000101878,0
ENSMUSG00000030641,3146
ENSMUSG00000040918,3922
ENSMUSG00000053706,0
ENSMUSG00000094090,2
ENSMUSG00000105796,0
ENSMUSG00000082035,171
ENSMUSG00000025270,158
ENSMUSG00000051811,405
ENSMUSG00000040533,208
ENSMUSG00000096255,61
ENSMUSG00000062456,0
ENSMUSG00000044734,390
ENSMUSG00000034437,225
ENSMUSG00000072825,5446
ENSMUSG00000039450,3613
ENSMUSG00000061311,5
ENSMUSG00000006574,41
ENSMUSG00000042099,2734
ENSMUSG00000093798,25
ENSMUSG00000075122,3057
ENSMUSG00000055632,988
ENSMUSG00000054589,693
ENSMUSG00000028893,4939
ENSMUSG00000076569,14670
ENSMUSG00000046480,245
ENSMUSG00000000308,127
ENSMUSG00000078889,127
ENSMUSG00000032128,109
ENSMUSG00000040447,53
ENSMUSG00000006445,3508
ENSMUSG00000082016,0
ENSMUSG00000021185,3960
ENSMUSG00000091694,18
ENSMUSG00000094127,903
ENSMUSG00000043099,453
ENSMUSG00000092528,148
ENSMUSG00000041773,2716
ENSMUSG00000089999,317
ENSMUSG00000081087,6
ENSMUSG00000051839,22
ENSMUSG00000094622,7
ENSMUSG00000018428,951
ENSMUSG00000073400,7
ENSMUSG00000034818,756
ENSMUSG00000045659,1780
ENSMUSG00000100863,537
ENSMUSG00000026532,26
ENSMUSG00000071141,32
ENSMUSG00000050821,318
ENSMUSG00000026582,24
ENSMUSG00000022416,498
ENSMUSG00000093954,72
ENSMUSG00000078126,18
ENSMUSG00000081603,25
ENSMUSG00000076612,21505
ENSMUSG00000035443,2165
