Ensembl_gene_id,p53_mock_1
ENSMUSG00000075014,92
ENSMUSG00000075015,19
ENSMUSG00000098078,3308
ENSMUSG00000041801,23
ENSMUSG00000066315,4435
ENSMUSG00000069306,14
ENSMUSG00000061167,2940
ENSMUSG00000081406,11001
ENSMUSG00000078087,7432
ENSMUSG00000096385,26
ENSMUSG00000023067,35
ENSMUSG00000095186,163
ENSMUSG00000096519,50
ENSMUSG00000095891,84
ENSMUSG00000095547,86
ENSMUSG00000091028,19
ENSMUSG00000026700,9
ENSMUSG00000069045,82
ENSMUSG00000081604,4241
ENSMUSG00000061983,18486
ENSMUSG00000074564,7
ENSMUSG00000101939,0
ENSMUSG00000043483,1694
ENSMUSG00000069049,74
ENSMUSG00000009628,19
ENSMUSG00000095280,10
ENSMUSG00000069919,8361
ENSMUSG00000096201,5
ENSMUSG00000021701,138
ENSMUSG00000052305,21576
ENSMUSG00000069917,18079
ENSMUSG00000029134,6
ENSMUSG00000081344,0
ENSMUSG00000046721,3214
ENSMUSG00000068744,195
ENSMUSG00000073940,4982
ENSMUSG00000059195,38
ENSMUSG00000037855,39
ENSMUSG00000025889,3
ENSMUSG00000002083,146
ENSMUSG00000096736,8
ENSMUSG00000022385,209
ENSMUSG00000037188,4
ENSMUSG00000026831,0
ENSMUSG00000100944,0
ENSMUSG00000078794,12
ENSMUSG00000047676,1314
ENSMUSG00000027171,283
ENSMUSG00000048458,252
ENSMUSG00000101878,316
ENSMUSG00000030641,232
ENSMUSG00000040918,210
ENSMUSG00000053706,0
ENSMUSG00000094090,2
ENSMUSG00000105796,0
ENSMUSG00000082035,273
ENSMUSG00000025270,1427
ENSMUSG00000051811,21
ENSMUSG00000040533,4
ENSMUSG00000096255,159
ENSMUSG00000062456,71
ENSMUSG00000044734,7211
ENSMUSG00000034437,21
ENSMUSG00000072825,366
ENSMUSG00000039450,391
ENSMUSG00000061311,241
ENSMUSG00000006574,1530
ENSMUSG00000042099,215
ENSMUSG00000093798,71
ENSMUSG00000075122,289
ENSMUSG00000055632,80
ENSMUSG00000054589,85
ENSMUSG00000028893,465
ENSMUSG00000076569,14355
ENSMUSG00000046480,9
ENSMUSG00000000308,1
ENSMUSG00000078889,11
ENSMUSG00000032128,2
ENSMUSG00000040447,1020
ENSMUSG00000006445,328
ENSMUSG00000082016,66
ENSMUSG00000021185,834
ENSMUSG00000091694,548
ENSMUSG00000094127,89
ENSMUSG00000043099,43
ENSMUSG00000092528,204
ENSMUSG00000041773,239
ENSMUSG00000089999,13
ENSMUSG00000081087,17
ENSMUSG00000051839,540
ENSMUSG00000094622,217
ENSMUSG00000018428,102
ENSMUSG00000073400,278
ENSMUSG00000034818,57
ENSMUSG00000045659,217
ENSMUSG00000100863,27
ENSMUSG00000026532,804
ENSMUSG00000071141,0
ENSMUSG00000050821,43
ENSMUSG00000026582,265
ENSMUSG00000022416,6099
ENSMUSG00000093954,148
ENSMUSG00000078126,0
ENSMUSG00000081603,33
ENSMUSG00000076612,28297
ENSMUSG00000035443,273
ENSMUSG00000024769,460
ENSMUSG00000108929,325
ENSMUSG00000027330,2090
ENSMUSG00000057886,201
ENSMUSG00000007379,240
ENSMUSG00000076613,30192
ENSMUSG00000006587,17
ENSMUSG00000080977,0
ENSMUSG00000067719,233
ENSMUSG00000025433,262
ENSMUSG00000089762,15
ENSMUSG00000042349,1714
ENSMUSG00000027556,666
ENSMUSG00000032374,31
ENSMUSG00000094392,107
ENSMUSG00000090639,193
ENSMUSG00000018012,38
ENSMUSG00000028970,618
ENSMUSG00000001281,5200
ENSMUSG00000043618,1
ENSMUSG00000037907,33
ENSMUSG00000076614,5071
ENSMUSG00000034282,9
ENSMUSG00000020326,5196
ENSMUSG00000020593,983
ENSMUSG00000083670,7
ENSMUSG00000068566,1741
ENSMUSG00000085791,89
ENSMUSG00000094526,50
ENSMUSG00000026649,77
ENSMUSG00000060143,44
ENSMUSG00000078377,69
ENSMUSG00000103034,18
ENSMUSG00000026581,37525
ENSMUSG00000041845,1
ENSMUSG00000025507,350
ENSMUSG00000028420,4285
ENSMUSG00000100405,0
ENSMUSG00000017400,439
ENSMUSG00000020788,18566
ENSMUSG00000079033,177
ENSMUSG00000067586,2568
ENSMUSG00000089739,480
ENSMUSG00000042156,176
ENSMUSG00000045092,15154
ENSMUSG00000049044,3056
ENSMUSG00000050621,63
ENSMUSG00000027297,444
ENSMUSG00000021668,920
ENSMUSG00000025912,806
ENSMUSG00000081254,0
ENSMUSG00000026443,2
ENSMUSG00000027863,6582
ENSMUSG00000022996,18
ENSMUSG00000081051,4257
ENSMUSG00000048188,31
ENSMUSG00000083287,107
ENSMUSG00000036995,25
ENSMUSG00000053279,184
ENSMUSG00000096577,1179
ENSMUSG00000070572,70
ENSMUSG00000101167,72
ENSMUSG00000038623,6837
ENSMUSG00000027663,999
ENSMUSG00000079339,1727
ENSMUSG00000060096,59
ENSMUSG00000024778,319
ENSMUSG00000004655,525
ENSMUSG00000004098,92
ENSMUSG00000031785,79
ENSMUSG00000095079,26209
ENSMUSG00000006154,2001
ENSMUSG00000020990,231
ENSMUSG00000028737,845
ENSMUSG00000003809,790
ENSMUSG00000037725,317
ENSMUSG00000082127,10
ENSMUSG00000055148,3851
ENSMUSG00000032946,10629
ENSMUSG00000006360,3117
ENSMUSG00000002007,4654
ENSMUSG00000032496,1319
ENSMUSG00000082099,7
ENSMUSG00000083365,883
ENSMUSG00000083558,883
ENSMUSG00000022899,2705
ENSMUSG00000040715,0
ENSMUSG00000044199,3456
ENSMUSG00000106350,25
ENSMUSG00000062762,1464
ENSMUSG00000048644,11
ENSMUSG00000096472,652
ENSMUSG00000109489,37
ENSMUSG00000054612,62
ENSMUSG00000046818,42
ENSMUSG00000105645,40
ENSMUSG00000024521,617
ENSMUSG00000020396,89
ENSMUSG00000020142,81
ENSMUSG00000031779,59
ENSMUSG00000032334,88
ENSMUSG00000013629,2551
ENSMUSG00000031258,1172
ENSMUSG00000000903,1093
ENSMUSG00000029322,10822
ENSMUSG00000058626,0
ENSMUSG00000025092,274
ENSMUSG00000034416,3
ENSMUSG00000021665,4705
ENSMUSG00000043468,7
ENSMUSG00000018340,9077
ENSMUSG00000082381,0
ENSMUSG00000034457,0
ENSMUSG00000022098,44
ENSMUSG00000090381,63
ENSMUSG00000078429,3808
ENSMUSG00000098387,0
ENSMUSG00000096718,94
ENSMUSG00000020086,29
ENSMUSG00000031969,236
ENSMUSG00000072082,512
ENSMUSG00000041538,30417
ENSMUSG00000030000,306
ENSMUSG00000039395,290
ENSMUSG00000030609,1726
ENSMUSG00000002799,43
ENSMUSG00000021913,4
ENSMUSG00000076670,478
ENSMUSG00000083728,151
ENSMUSG00000032484,1291
ENSMUSG00000036678,1144
ENSMUSG00000024900,5483
ENSMUSG00000032908,1148
ENSMUSG00000030427,537
ENSMUSG00000099241,4245
ENSMUSG00000037552,3568
ENSMUSG00000042821,11
ENSMUSG00000030084,1342
ENSMUSG00000039787,124
ENSMUSG00000022748,102
ENSMUSG00000025366,10714
ENSMUSG00000090877,138
ENSMUSG00000101111,6123
