GeneID	LUAD_02N
A1BG	366322074
A2M	335293260
AARS	6664212
ABCC1	5928255
ABCD3	31477101
ABCF1	3040498
ABHD10	128309856
ABHD11	25179534
ABHD14B	44851065
ABHD16A	30872213
ABI1	14456068
ACAA1	101027169
ACAA2	355281216
ACAD8	9320481
ACAD9	22557832
ACADM	37973563
ACADS	131775397
ACADSB	35402807
ACADVL	220472404
ACAT1	529261868
ACAT2	10786645
ACE	61990859
ACIN1	16023724
ACLY	18697264
ACO1	9924449
ACO2	235289868
ACOT1	35501638
ACOT13	36831781
ACOT9	88948319
ACOX1	30501510
ACP1	1277244
ACSF2	49495781
ACSL1	69570602
ACSL3	38173447
ACSL4	25455769
ACSL5	41167263
ACSS1	21978207
ACTB	NA
ACTC1	NA
ACTG1	65631797
ACTL6A	36414591
ACTN1	567338845
ACTN4	1234084668
ACTR1A	95158182
ACTR1B	40530109
ACTR2	258563607
ACTR3	336638969
ADAM10	82494067
ADAR	11351818
ADCK3	14173181
ADD1	158125298
ADD3	159898138
ADH5	115459275
ADPGK	78017189
AEBP1	40257662
AFG3L2	18003912
AGFG1	4574879
AGK	54490022
AGL	3766562
AGO2	3405777
AGPS	48859428
AGR2	274712035
AGRN	350985881
AGT	22793626
AHCY	34081474
AIF1	109834285
AIFM1	109616055
AIMP1	17946830
AIMP2	16042151
AIP	14890622
AK1	105009527
AK2	123744592
AK3	112175669
AKAP12	45906733
AKAP2	234629268
AKAP9	1630422
AKR1A1	94760693
AKR7A2	59220989
ALB	NA
ALCAM	99643108
ALDH16A1	10071006
ALDH18A1	13679400
ALDH1A1	298195334
ALDH1B1	46040084
ALDH2	1666786015
ALDH3A2	263354965
ALDH4A1	23464977
ALDH5A1	22278246
ALDH6A1	138907454
ALDH7A1	108060587
ALDH9A1	190148102
ALDOA	117736535
ALDOC	24013397
ALG2	55201897
ALG5	3048839
ALOX5	65848216
AMBP	149418652
AMPD3	1490586
ANK1	219129507
ANKFY1	12471713
ANKRD44	3583461
ANO10	10873314
ANO6	18972192
ANP32A	74140789
ANPEP	26588884
ANXA1	1307871134
ANXA11	438054586
ANXA2	NA
ANXA3	728290407
ANXA4	1019930727
ANXA5	844444992
ANXA6	1418949923
ANXA7	246470953
AOC3	1700945341
AP1B1	60011748
AP1G1	21385064
AP1M1	30339705
AP2A1	118985194
AP2A2	119220447
AP2B1	198949525
AP2M1	35988168
AP2S1	41444672
AP3B1	9799157
AP3D1	13839392
AP3M1	13620088
APCS	653467825
APEH	20535062
APEX1	32473386
API5	17966584
APMAP	273807269
APOA1	1375607471
APOA2	260226086
APOA4	89790509
APOB	28375722
APOC1	356908709
APOC3	167796597
APOD	79525457
APOE	117978313
APOH	538832853
APOOL	60101553
APP	11582460
APPL1	16749261
APRT	11253714
AQR	3732030
ARAP1	2650845
ARCN1	24888029
ARF1	392377800
ARF4	83787563
ARF6	81332882
ARHGAP1	35711648
ARHGAP18	5614699
ARHGDIA	275622189
ARHGDIB	100840655
ARHGEF1	3667408
ARHGEF17	1790943
ARL6IP5	507086695
ARL8A	323378337
ARL8B	42915935
ARMC10	23010337
ARPC1A	7247888
ARPC1B	82820729
ARPC2	266759463
ARPC3	57127610
ARPC4	282132744
ARPC5	130372234
ARPC5L	20629282
ARRB1	63633092
ASAH1	492692685
ASPH	64812150
ASPN	197408403
ATAD3A	9130945
ATIC	15045417
ATL2	10256301
ATL3	290145535
ATP13A1	19763851
ATP1A1	556079263
ATP1B1	383447483
ATP1B3	176213524
ATP2A2	147673508
ATP2A3	12189357
ATP2B1	17803989
ATP2B4	162830451
ATP2C1	5954743
ATP5A1	994492092
ATP5B	NA
ATP5C1	320956312
ATP5D	1546866550
ATP5F1	102390216
ATP5H	137628396
ATP5J	22301826
ATP5J2	103813106
ATP5L	63311910
ATP5O	126485952
ATP6V0A1	39244186
ATP6V0D1	146350765
ATP6V1A	84678095
ATP6V1B2	39398376
ATP6V1C1	22820226
ATP6V1E1	44669523
ATP6V1F	22580205
ATP6V1H	12993594
B2M	247507630
BAG3	19142845
BAG5	3941740
BAG6	7069335
BANF1	296171534
BASP1	93239513
BAX	5965468
BAZ1B	3995347
BCAM	871281008
BCAP31	314961332
BCAT2	151823732
BCKDHA	20109224
BCKDHB	43338883
BCKDK	12260531
BCL2L13	13780883
BCLAF1	12692560
BCS1L	10711034
BGN	NA
BLVRA	16541579
BLVRB	211183900
BRK1	19330168
BSG	101219973
BST1	71985177
BUB3	36180863
C14orf159	38833955
C14orf166	96625621
C16orf58	16231269
C1QB	35891445
C1QBP	185232061
C1QC	25766009
C1S	16128032
C3	187080451
C4A	3966239
C4B	78971557
C4BPA	125932561
C5	11297974
C7	11649799
C8A	13908931
C9	30378491
CA1	1045022464
CA2	94968893
CACYBP	7375695
CAD	2290058
CALD1	272908856
CALM3	1937318681
CALR	510051503
CALU	241232979
CAMK2D	33183261
CAMK2G	70290133
CAND1	37824986
CANX	206645127
CAP1	259354876
CAPG	238629026
CAPN1	83328311
CAPN2	63526340
CAPNS1	317167423
CAPRIN1	9749524
CAPZA1	285096577
CAPZA2	478793162
CAPZB	300446414
CARKD	14981896
CASK	11992142
CAST	44603598
CAT	633478854
CAV1	920836322
CBR1	76636293
CBX1	42371121
CBX3	15803325
CBX5	11970488
CCAR1	7620316
CCAR2	16785625
CCDC22	8736424
CCDC47	33608637
CCDC6	5491577
CCT2	206045495
CCT3	125103682
CCT4	163576000
CCT5	218505156
CCT6A	171127614
CCT7	169493363
CCT8	157023231
CD14	107437821
CD151	219764562
CD163	58863723
CD2AP	2864698
CD44	139197684
CD47	189154429
CD55	143009999
CD59	1289180731
CD74	154141141
CD81	826915307
CD9	1398027900
CD97	22982687
CDC37	27253058
CDC42	638554860
CDC42BPA	1185253
CDC42BPB	5371121
CDC5L	11114744
CDH1	72231950
CDH13	102694734
CES1	579148433
CFH	99841131
CFL1	289124386
CHCHD2	73591432
CHCHD3	121723965
CHD4	8694518
CHERP	8505698
CHID1	8389177
CHMP4B	34560505
CHMP6	22660634
CHP1	9156918
CIB1	24744244
CISD1	91977416
CISD2	73473348
CKAP4	215518543
CKAP5	3644827
CKB	167397778
CLCC1	13425693
CLEC3B	18263204
CLIC1	135505735
CLIC4	63857050
CLINT1	14143345
CLIP1	4870682
CLPB	7557846
CLTB	10350783
CLTC	397550710
CLU	500915625
CNDP2	84234947
CNN2	36134314
CNN3	25060983
CNOT1	2382819
CNP	38986157
CNPY2	75778615
CNPY3	9067926
COL12A1	60184038
COL14A1	643107426
COL15A1	87938744
COL18A1	235934180
COL1A1	71106896
COL1A2	131465039
COL3A1	219293
COL4A1	75341038
COL4A2	62707479
COL6A1	880673049
COL6A2	513361790
COL6A3	741800741
COLGALT1	37629890
COMT	376610414
COPA	36270715
COPB1	32722385
COPB2	26265499
COPE	64478729
COPG1	41554826
