GeneID	LUAD_100T
A1BG	66085174
A2M	76064926
AARS	15282647
ABCC1	2935284
ABCD3	46684914
ABCF1	17542053
ABHD10	42967557
ABHD11	143487448
ABHD14B	44081159
ABHD16A	27303217
ABI1	31796083
ACAA1	86753518
ACAA2	316496060
ACAD8	55421163
ACAD9	52228125
ACADM	155166809
ACADS	62081336
ACADSB	103019989
ACADVL	208521584
ACAT1	730194075
ACAT2	7479811
ACE	23246619
ACIN1	23681144
ACLY	31429941
ACO1	21256227
ACO2	169918869
ACOT1	34188294
ACOT13	148605361
ACOT9	45095498
ACOX1	11761951
ACP1	17636314
ACSF2	95845197
ACSL1	86885603
ACSL3	39693598
ACSL4	10641892
ACSL5	69558961
ACSS1	51412622
ACTB	NA
ACTC1	1238577145
ACTG1	53506259
ACTL6A	31460967
ACTN1	299398088
ACTN4	1377162463
ACTR1A	49860564
ACTR1B	11451925
ACTR2	340699870
ACTR3	408635625
ADAM10	25974732
ADAR	48845396
ADCK3	8202340
ADD1	65915846
ADD3	54604373
ADH5	38852819
ADPGK	25337541
AEBP1	39978055
AFG3L2	66899853
AGFG1	24522993
AGK	82414984
AGL	3223318
AGO2	12510152
AGPS	18940196
AGR2	1111785895
AGRN	82547573
AGT	483265
AHCY	115381167
AIF1	102701300
AIFM1	153876483
AIMP1	21198501
AIMP2	12840652
AIP	27225077
AK1	281321754
AK2	214127594
AK3	74533366
AKAP12	5568156
AKAP2	56991005
AKAP9	4072149
AKR1A1	89720237
AKR7A2	61914056
ALB	NA
ALCAM	89852539
ALDH16A1	26680295
ALDH18A1	89265451
ALDH1A1	150667432
ALDH1B1	11915628
ALDH2	286283059
ALDH3A2	115987396
ALDH4A1	31363516
ALDH5A1	79505826
ALDH6A1	182984860
ALDH7A1	46115634
ALDH9A1	266697458
ALDOA	974595856
ALDOC	26982482
ALG2	24813606
ALG5	22328334
ALOX5	53842200
AMBP	43920547
AMPD3	3014618
ANK1	14064304
ANKFY1	13301136
ANKRD44	8616938
ANO10	11384921
ANO6	13716568
ANP32A	132515064
ANPEP	7218899
ANXA1	563835258
ANXA11	167439268
ANXA2	NA
ANXA3	109978318
ANXA4	464273749
ANXA5	455929881
ANXA6	638999102
ANXA7	204151835
AOC3	487408659
AP1B1	27736478
