category	over_represented_pvalue	under_represented_pvalue	numDEInCat	numInCat	term	ontology	p_adjust_over_represented	p_adjust_under_represented
GO:0004984	9.59784373279685e-10	0.999999999964855	12	17	olfactory receptor activity	MF	1.68931647540957e-05	1
GO:0007606	2.96321609155367e-08	0.999999996544295	16	37	sensory perception of chemical stimulus	BP	0.00026077783213718	1
GO:0007608	1.26605429975945e-07	0.9999999898277	12	23	sensory perception of smell	BP	0.000710303536694301	1
GO:0072331	1.61423450189035e-07	0.999999971951176	19	56	signal transduction by p53 class mediator	BP	0.000710303536694301	1
GO:0030330	4.11670163580964e-07	0.999999960946692	12	25	DNA damage response, signal transduction by p53 class mediator	BP	0.00144916130983771	1
GO:0008630	1.90948516967553e-05	0.999995780340253	16	56	intrinsic apoptotic signaling pathway in response to DNA damage	BP	0.0560147474524317	1
GO:0040020	3.329408468957e-05	0.999998636560862	6	9	regulation of meiotic nuclear division	BP	0.0739667745189541	1
GO:0007600	3.3619350954584e-05	0.999986370090307	35	193	sensory perception	BP	0.0739667745189541	1
GO:0043516	4.71571952696589e-05	0.999996632085958	7	13	regulation of DNA damage response, signal transduction by p53 class mediator	BP	0.0922237548823629	1
GO:0042770	6.04552365544819e-05	0.99998780845331	13	43	signal transduction in response to DNA damage	BP	0.101808034135121	1
GO:0043518	6.36264061977346e-05	1	4	4	negative regulation of DNA damage response, signal transduction by p53 class mediator	BP	0.101808034135121	1
GO:0003008	9.88853454950249e-05	0.999942670269091	81	608	system process	BP	0.145040080504828	1
GO:0042771	0.000186901422311245	0.999976408177207	8	20	intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator	BP	0.252989014918594	1
GO:0072332	0.000201229828354088	0.999960539048671	11	36	intrinsic apoptotic signaling pathway by p53 class mediator	BP	0.252989014918594	1
GO:0050877	0.00026753162742715	0.999857159527929	53	368	nervous system process	BP	0.313921611623017	1
GO:0008544	0.000467825941900804	0.999838749224508	19	93	epidermis development	BP	0.514637775212253	1
GO:0045616	0.000524744285192944	0.99996670591531	5	9	regulation of keratinocyte differentiation	BP	0.543295539040059	1
GO:0001651	0.000714305825829254	1	3	3	dense fibrillar component	CC	0.698472046690039	1
GO:0003341	0.000809670455958737	0.999790116995059	12	48	cilium movement	BP	0.724844197632366	1
GO:0006924	0.000823639790503229	0.99996856626523	4	6	activation-induced cell death of T cells	BP	0.724844197632366	1
GO:0046873	0.00086652266627827	0.999639928590626	24	136	metal ion transmembrane transporter activity	MF	0.726269783293516	1
GO:0004550	0.000972544258901347	0.999923055688515	5	10	nucleoside diphosphate kinase activity	MF	0.744250065257504	1
GO:0060080	0.000972544258901347	0.999923055688515	5	10	inhibitory postsynaptic potential	BP	0.744250065257504	1
GO:0009566	0.001086052962993	0.999668921208061	14	63	fertilization	BP	0.78761381964547	1
GO:0003006	0.00117407365544267	0.999383067879758	40	274	developmental process involved in reproduction	BP	0.78761381964547	1
GO:0030858	0.0012203712562106	0.999813098577689	7	20	positive regulation of epithelial cell differentiation	BP	0.78761381964547	1
GO:0046395	0.00147234078950819	0.999511437096688	15	72	carboxylic acid catabolic process	BP	0.78761381964547	1
GO:0016741	0.00149942640282695	0.999524788730734	14	65	transferase activity, transferring one-carbon groups	MF	0.78761381964547	1
GO:0034660	0.00152044827089363	0.999251247077325	32	208	ncRNA metabolic process	BP	0.78761381964547	1
GO:0010564	0.00158647614032597	0.999226100251591	31	200	regulation of cell cycle process	BP	0.78761381964547	1
GO:0048013	0.00165257725619237	0.999843495337848	5	11	ephrin receptor signaling pathway	BP	0.78761381964547	1
GO:0016054	0.0017043655664818	0.999424821681456	15	73	organic acid catabolic process	BP	0.78761381964547	1
GO:0022836	0.00171434974203824	0.999331420347602	19	103	gated channel activity	MF	0.78761381964547	1
GO:2000241	0.00175087996131479	0.999434543957271	14	66	regulation of reproductive process	BP	0.78761381964547	1
GO:0030545	0.00175289654432956	0.999213564003804	25	151	signaling receptor regulator activity	MF	0.78761381964547	1
GO:0004806	0.00178596215678265	0.999898101984206	4	7	triglyceride lipase activity	MF	0.78761381964547	1
GO:0010528	0.00178596215678265	0.999898101984206	4	7	regulation of transposition	BP	0.78761381964547	1
GO:0010529	0.00178596215678265	0.999898101984206	4	7	negative regulation of transposition	BP	0.78761381964547	1
GO:0044851	0.00178596215678265	0.999898101984206	4	7	hair cycle phase	BP	0.78761381964547	1
GO:0051445	0.00183639001910344	0.999752561653372	6	16	regulation of meiotic cell cycle	BP	0.78761381964547	1
GO:1901796	0.00187607214211415	0.999628340521107	8	27	regulation of signal transduction by p53 class mediator	BP	0.78761381964547	1
GO:0009123	0.00187942619312026	0.99957749635163	9	33	nucleoside monophosphate metabolic process	BP	0.78761381964547	1
GO:0022414	0.0022358667070116	0.99866164320619	55	421	reproductive process	BP	0.902534387553506	1
GO:0035082	0.00229215468657881	0.999596238166842	7	22	axoneme assembly	BP	0.902534387553506	1
