GeneID	RNA-seq_LADC45
DDX11L1	2
WASH7P	587
MIR6859-1	14
LOC100996442	70
LOC729737	2027
DDX11L17	1
WASH9P	675
MIR6859-2	17
LOC112268260	23
LOC100132287	600
LOC105378947	1
MIR12136	211
OR4F16	18
100133331	461
107984841	142
107984847	203
107984849	107
LOC100288069	113
LINC01409	33
FAM87B	31
LINC00115	70
LINC01128	321
FAM41C	6
LOC284600	140
LINC02593	4
LOC107985728	3
SAMD11	126
NOC2L	1499
KLHL17	235
PLEKHN1	129
PERM1	85
HES4	392
ISG15	11986
AGRN	53124
LOC100288175	41
112267874	20
LOC105378948	116
RNF223	47
C1orf159	282
LINC01342	0
MIR200B	2
MIR200A	10
MIR429	18
TTLL10-AS1	7
TTLL10	29
TNFRSF18	188
TNFRSF4	194
SDF4	9638
B3GALT6	314
C1QTNF12	14
UBE2J2	873
LINC01786	68
SCNN1D	142
ACAP3	786
SNORD167	7
PUSL1	248
INTS11	1845
MIR6727	9
CPTP	903
TAS1R3	355
DVL1	2480
MIR6808	3
MXRA8	456
AURKAIP1	2063
CCNL2	3350
MRPL20-AS1	546
MRPL20	1289
107984868	83
ANKRD65	2700
LOC105378585	23
TMEM88B	2
LINC01770	189
LOC107985729	26
VWA1	5856
ATAD3C	397
ATAD3B	732
ATAD3A	563
TMEM240	3
SSU72	1996
FNDC10	179
LOC105378586	10
MIB2	1592
MMP23B	69
CDK11B	1452
SLC35E2B	2586
MMP23A	37
CDK11A	1137
SLC35E2A	803
LOC112268218	278
NADK	2890
GNB1	7828
LOC105378949	11
CALML6	21
TMEM52	51
CFAP74	4
LOC107984872	0
LOC105378589	5
GABRD	28
LOC105378590	0
LOC105378591	1
PRKCZ	676
PRKCZ-AS1	39
FAAP20	814
LOC112268219	98
LOC105378593	1
SKI	1310
MORN1	109
LOC100129534	79
RER1	4197
PEX10	839
PLCH2	250
PANK4	683
HES5	7
TNFRSF14-AS1	488
TNFRSF14	1762
LOC100996583	8
PRXL2B	172
MMEL1	37
MMEL1-AS1	1
TTC34	11
LOC105378598	0
LOC107984904	0
PRDM16-DT	31
PRDM16	82
LOC105378606	0
LOC107984909	0
LOC105378604	1
ARHGEF16	1148
MEGF6	1285
LOC105378608	0
105378607	0
TPRG1L	1150
WRAP73	604
TP73	65
TP73-AS3	0
TP73-AS1	668
CCDC27	0
SMIM1	18
LRRC47	1338
CEP104	923
DFFB	148
107984910	5
C1orf174	589
LINC01134	9
AJAP1	3910
LOC107984911	0
NPHP4	173
KCNAB2	1011
CHD5	9
RPL22	4968
