GeneID	RNA-seq_normal_lung28
DDX11L1	9
WASH7P	2005
MIR6859-1	35
LOC100996442	35
LOC729737	856
DDX11L17	0
WASH9P	2107
MIR6859-2	21
LOC112268260	12
LOC100132287	453
LOC105378947	0
MIR12136	2686
OR4F16	2
100133331	347
107984841	14
107984847	12
107984849	1
LOC100288069	15
LINC01409	27
FAM87B	14
LINC00115	38
LINC01128	513
FAM41C	3
LOC284600	6
LINC02593	205
LOC107985728	29
SAMD11	865
NOC2L	2117
KLHL17	392
PLEKHN1	64
PERM1	44
HES4	1761
ISG15	3359
AGRN	5575
LOC100288175	18
112267874	15
LOC105378948	36
RNF223	20
C1orf159	453
LINC01342	9
MIR200B	0
MIR200A	0
MIR429	23
TTLL10-AS1	36
TTLL10	123
TNFRSF18	120
TNFRSF4	535
SDF4	6603
B3GALT6	1110
C1QTNF12	76
UBE2J2	2036
LINC01786	69
SCNN1D	295
ACAP3	2651
SNORD167	17
PUSL1	479
INTS11	3554
MIR6727	16
CPTP	1019
TAS1R3	95
DVL1	2839
MIR6808	1
MXRA8	6337
AURKAIP1	3536
CCNL2	6200
MRPL20-AS1	1207
MRPL20	3175
107984868	26
ANKRD65	700
LOC105378585	70
TMEM88B	6
LINC01770	132
LOC107985729	28
VWA1	3254
ATAD3C	455
ATAD3B	1434
ATAD3A	939
TMEM240	133
SSU72	4016
FNDC10	231
LOC105378586	19
MIB2	4556
MMP23B	1245
CDK11B	2370
SLC35E2B	1636
MMP23A	854
CDK11A	1885
SLC35E2A	935
LOC112268218	433
NADK	1665
GNB1	8397
LOC105378949	12
CALML6	8
TMEM52	45
CFAP74	35
LOC107984872	0
LOC105378589	3
GABRD	57
LOC105378590	4
LOC105378591	0
PRKCZ	2524
PRKCZ-AS1	116
FAAP20	3035
LOC112268219	253
LOC105378593	37
SKI	3212
MORN1	283
LOC100129534	100
RER1	3678
PEX10	1248
PLCH2	122
PANK4	660
HES5	20
TNFRSF14-AS1	603
TNFRSF14	4529
LOC100996583	27
PRXL2B	704
MMEL1	271
MMEL1-AS1	0
TTC34	60
LOC105378598	0
LOC107984904	0
PRDM16-DT	411
PRDM16	405
LOC105378606	0
LOC107984909	1
LOC105378604	11
ARHGEF16	396
MEGF6	3636
LOC105378608	2
105378607	12
TPRG1L	3264
WRAP73	495
TP73	80
TP73-AS3	0
TP73-AS1	1039
CCDC27	3
SMIM1	149
LRRC47	1924
CEP104	672
DFFB	218
107984910	8
C1orf174	524
LINC01134	11
AJAP1	37
LOC107984911	0
NPHP4	429
KCNAB2	902
CHD5	16
RPL22	22749
107985733	41
RNF207-AS1	12
RNF207	341
ICMT	2034
LINC00337	0
GPR153	1723
ACOT7	788
HES2	20
ESPN	169
TNFRSF25	657
PLEKHG5	631
NOL9	901
TAS1R1	28
LOC107984912	6
ZBTB48	1043
KLHL21	1160
LOC107984913	16
PHF13	694
THAP3	1256
DNAJC11	643
CAMTA1-DT	18
CAMTA1	1250
LOC105376689	49
VAMP3	4516
PER3	690
UTS2	30
TNFRSF9	10
PARK7	5868
ERRFI1	1529
LOC107984915	0
LINC01714	0
SLC45A1	68
RERE	3221
RERE-AS1	20
ENO1	15295
MIR6728	1
ENO1-AS1	3
CA6	0
SLC2A5	34
GPR157	886
MIR34AHG	270
MIR34A	0
LNCTAM34A	18
H6PD	3484
SPSB1	888
LINC02606	95
SLC25A33	441
TMEM201	396
107985734	34
PIK3CD	1169
PIK3CD-AS1	0
PIK3CD-AS2	80
CLSTN1	3774
CTNNBIP1	1600
LOC105376717	88
LZIC	1299
NMNAT1	308
RBP7	409
UBE4B	1131
KIF1B	1091
105376725	0
PGD	1766
CENPS-CORT	158
CENPS	170
CORT	24
DFFA	1385
PEX14	929
CASZ1	759
LOC105376733	3
C1orf127	41
TARDBP	4114
MASP2	226
SRM	1492
EXOSC10	1751
EXOSC10-AS1	5
MTOR	989
MTOR-AS1	4
ANGPTL7	50
UBIAD1	515
LOC105376739	0
LOC105376740	0
DISP3	4
112268221	0
FBXO2	544
FBXO44	1359
FBXO6	365
MAD2L2	784
DRAXIN	24
AGTRAP	1613
C1orf167	411
MTHFR	1790
CLCN6	771
NPPA-AS1	66
NPPA	68
KIAA2013	2198
PLOD1	2294
MFN2	2944
MIIP	1419
MIR6729	14
TNFRSF8	87
MIR7846	8
TNFRSF1B	2738
107984917	21
VPS13D	1672
SNORA59A	15
LINC02766	6
DHRS3	3424
MIR6730	2
AADACL4	16
C1orf158	14
LRRC38	1
PDPN	1216
PRDM2	1189
KAZN	860
LOC107985467	14
LOC105376759	0
LOC107985469	0
TMEM51-AS1	233
TMEM51	825
TMEM51-AS2	4
FHAD1	61
FHAD1-AS1	2
LOC101927441	6
EFHD2	3069
CTRC	12
CELA2A	5
CELA2B	21
CASP9	451
DNAJC16	363
AGMAT	33
DDI2	861
RSC1A1	33
PLEKHM2	3032
SLC25A34	132
SLC25A34-AS1	7
TMEM82	5
FBLIM1	1697
UQCRHL	94
FLJ37453	386
SPEN	1011
ZBTB17	1622
SRARP	0
HSPB7	659
CLCNKA	12
CLCNKB	24
FAM131C	17
EPHA2	793
LOC101927479	37
ARHGEF19	467
ANO7L1	68
CPLANE2	139
FBXO42	833
SZRD1	2366
SPATA21	1873
NECAP2	2278
LINC01772	95
CROCCP3	236
RNU1-1	1
LINC01783	7
NBPF1	390
105376794	546
CROCCP2	371
MST1P2	436
LOC107985736	41
RNU1-3	1
ESPNP	0
MST1L	514
LOC112267871	7
LOC105376805	171
CROCC	2143
MFAP2	711
LOC105376806	154
ATP13A2	1409
SDHB	1427
PADI2	120
LINC02783	0
PADI1	0
PADI3	2
PADI4	41
PADI6	0
RCC2	1589
ARHGEF10L	1238
ACTL8	0
IGSF21	30
KLHDC7A	40
PAX7	3
ALDH4A1	489
IFFO2	626
UBR4	2750
EMC1-AS1	24
EMC1	968
MRTO4	1469
AKR7L	16
AKR7A3	67
LOC100506730	130
AKR7A2	1725
SLC66A1	563
CAPZB	6458
MICOS10	2653
MICOS10-NBL1	28483
RPS14P3	90
NBL1	27961
HTR6	2
TMCO4	636
RNF186	0
OTUD3	493
PLA2G2A	129
PLA2G5	473
PLA2G2D	9
PLA2G2F	2
PLA2G2C	2
UBXN10	450
101928017	26
LOC105376825	38
VWA5B1	64
LINC01141	12
CAMK2N1	9759
MUL1	1275
FAM43B	38
CDA	74
PINK1	2091
MIR6084	75
PINK1-AS	2793
DDOST	4105
KIF17	474
SH2D5	0
112268222	1754
HP1BP3	2311
EIF4G3	914
LOC105376830	2
LOC105376829	2
ECE1	6438
ECE1-AS1	10
NBPF3	87
ALPL	1412
LINC02596	0
RAP1GAP	1601
USP48	1156
LDLRAD2	3648
HSPG2	5079
LINC01635	1
LINC00339	484
CDC42-AS1	27
CDC42	5759
WNT4	148
LOC105376845	10
LOC105376850	0
LOC107985377	14
ZBTB40	984
EPHA8	0
C1QA	5904
C1QC	2728
C1QB	2816
EPHB2	236
MIR4253	0
KDM1A	1255
LUZP1	829
HTR1D	5
LINC01355	205
HNRNPR	2503
ZNF436	325
ZNF436-AS1	159
TCEA3	1900
ASAP3	1066
E2F2	10
LOC101928163	0
LOC105376859	6
ID3	4427
MDS2	9
RPL11	51689
ELOA	1464
ELOA-AS1	170
PITHD1	1692
LOC105376860	106
LYPLA2	2030
GALE	1028
HMGCL	1372
LOC105376861	0
FUCA1	1156
CNR2	7
PNRC2	2907
SRSF10	2171
LOC105376863	1
LOC107984931	0
MYOM3	7
IL22RA1	221
IFNLR1	89
LINC02800	0
GRHL3-AS1	0
GRHL3	6
STPG1	237
NIPAL3	893
RCAN3AS	2
RCAN3	410
NCMAP-DT	18
NCMAP	261
SRRM1	1835
CLIC4	7148
RUNX3	369
107984932	2
RUNX3-AS1	18
SYF2	2564
RSRP1	2292
LOC105376882	0
RHD	22
TMEM50A	1556
RHCE	1150
MACO1	808
LDLRAP1	1621
MAN1C1	1012
SELENON	2945
MTFR1L	1341
LOC646471	70
AUNIP	159
PAQR7	684
STMN1	1867
MIR3917	56
PAFAH2	391
101928216	0
EXTL1	76
SLC30A2	1
TRIM63	2
PDIK1L	345
FAM110D	1174
ZNF593	889
CNKSR1	744
CATSPER4	0
ZPLD2P	12
CEP85	116
SH3BGRL3	4876
UBXN11	1902
CD52	1878
CRYBG2	51
ZNF683	130
DHDDS	584
