0	Chromosome	Start	End	Strand	Feature	Gene name
ENSMUSG00000026581	1	165992206	166010916	+	protein_coding	Sell
ENSMUSG00000000934	15	75487464	75509230	-	protein_coding	Top1mt
ENSMUSG00000044734	13	32933960	32943054	-	protein_coding	Serpinb1a
ENSMUSG00000021665	13	97946286	97968312	-	protein_coding	Hexb
ENSMUSG00000020224	10	119664125	119669127	+	protein_coding	Llph
ENSMUSG00000001281	15	102046425	102062366	-	protein_coding	Itgb7
ENSMUSG00000040447	11	72265139	72303463	-	protein_coding	Spns2
ENSMUSG00000004356	10	88209351	88289559	-	protein_coding	Utp20
ENSMUSG00000038623	7	89003886	89029320	+	protein_coding	Tm6sf1
ENSMUSG00000058006	4	32744093	32862182	+	protein_coding	Mdn1
ENSMUSG00000020396	11	4838756	4848067	-	protein_coding	Nefh
ENSMUSG00000018340	11	54792609	54846947	-	protein_coding	Anxa6
ENSMUSG00000039395	1	72205806	72258881	-	protein_coding	Mreg
ENSMUSG00000024312	17	34077604	34086640	+	protein_coding	Wdr46
ENSMUSG00000109324	NA	NA	NA	NA	NA	NA
ENSMUSG00000022416	15	80117667	80228709	+	protein_coding	Cacna1i
ENSMUSG00000028069	3	87847029	87859915	+	protein_coding	Gpatch4
ENSMUSG00000019850	10	18720715	18735463	-	protein_coding	Tnfaip3
ENSMUSG00000021048	12	77356218	77420807	+	protein_coding	Mthfd1
ENSMUSG00000020712	11	106137985	106150059	+	protein_coding	Tcam1
ENSMUSG00000018428	11	88692105	88725900	-	protein_coding	Akap1
ENSMUSG00000002319	14	56244236	56256732	-	protein_coding	Ipo4
ENSMUSG00000027330	2	131012684	131024233	+	protein_coding	Cdc25b
ENSMUSG00000054321	18	14941753	15058868	+	protein_coding	Taf4b
ENSMUSG00000020527	11	84693649	84724728	+	protein_coding	Myo19
ENSMUSG00000053553	5	139835692	139936456	-	protein_coding	3110082I17Rik
ENSMUSG00000047945	4	129190824	129193229	+	protein_coding	Marcksl1
ENSMUSG00000033854	12	99672203	99816150	-	protein_coding	Kcnk10
ENSMUSG00000021453	13	51942046	51943837	+	protein_coding	Gadd45g
ENSMUSG00000024732	19	11015970	11023756	-	protein_coding	Ccdc86
ENSMUSG00000035049	19	41937341	41970643	-	protein_coding	Rrp12
ENSMUSG00000027297	2	119577055	119586167	-	protein_coding	Ltk
ENSMUSG00000083161	11	83067697	83074036	+	pseudogene	Gm11427
ENSMUSG00000028051	3	88949995	88964118	-	protein_coding	Hcn3
ENSMUSG00000036006	13	24674057	24825685	+	protein_coding	Fam65b
ENSMUSG00000001576	17	26698433	26793876	+	protein_coding	Ergic1
ENSMUSG00000074141	7	52071739	52096179	+	protein_coding	Il4i1
ENSMUSG00000000776	14	70838554	70843278	-	protein_coding	Polr3d
ENSMUSG00000025403	10	126954194	126959491	-	protein_coding	Shmt2
ENSMUSG00000040263	8	124320212	124353469	-	protein_coding	Klhdc4
ENSMUSG00000027452	2	150443840	150494236	-	protein_coding	Acss1
ENSMUSG00000004100	9	20692618	20696622	+	protein_coding	Ppan
ENSMUSG00000029594	5	120566518	120648394	+	protein_coding	Rbm19
ENSMUSG00000048895	11	80290547	80294681	+	protein_coding	Cdk5r1
ENSMUSG00000033644	14	70772286	70828901	-	protein_coding	Piwil2
ENSMUSG00000046865	7	28954764	28964288	+	protein_coding	Fbl
ENSMUSG00000047454	12	79327641	79785754	+	protein_coding	Gphn
ENSMUSG00000025364	10	127994821	128002990	-	protein_coding	Pa2g4
ENSMUSG00000027347	2	117105728	117168737	-	protein_coding	Rasgrp1
ENSMUSG00000011179	12	17551678	17558308	+	protein_coding	Odc1
ENSMUSG00000096472	NA	NA	NA	NA	NA	NA
ENSMUSG00000030790	7	117771174	117773331	+	protein_coding	Adm
ENSMUSG00000025026	19	53214934	53321889	+	protein_coding	Add3
